depot	gene_symbol	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	UCP1	base	post_vs_pre	126	-0.07576097544752873	0.3018411310023241	-0.2509961952367101	0.8022358712547971	-0.6673695922120839	0.5158476413170265
visceral	ADRA2B	base	post_vs_pre	126	0.031549812022764016	0.14319421395660106	0.22032881881893673	0.8259803609306311	-0.24911084733217403	0.3122104713777021
visceral	NR4A1	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	NR4A2	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	NR4A3	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	FOS	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	JUN	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	EGR1	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ADRB1	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ADRB2	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ADRB3	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ADRA2A	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ADRA2B	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ADRA2C	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	PNPLA2	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	LIPE	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	MGLL	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	ABHD5	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	PLIN1	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	G0S2	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	LPL	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	FABP4	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	UCP1	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	PPARGC1A	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	PPARGC1B	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	CIDEA	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	DIO2	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	VEGFA	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
