depot	gene_symbol	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	NR4A2	base	post_vs_pre	126	0.661916202897013	0.30117054703623997	2.19781186909145	0.02983485558768745	0.07162193070598266	1.2522104750880434
visceral	PPARGC1B	base	post_vs_pre	126	-0.2804043501339818	0.12853579108719124	-2.181527399973535	0.031045952380415652	-0.5323345006648765	-0.028474199603087003
visceral	ADRB3	base	post_vs_pre	126	-0.5228634620013402	0.2480534394264897	-2.107866205000919	0.037072480647087	-1.0090482032772599	-0.03667872072542039
visceral	DIO2	base	post_vs_pre	126	-0.4492331104354301	0.213641536415172	-2.1027423691731477	0.037526881770700155	-0.8679705218091672	-0.030495699061693027
visceral	NR4A3	base	post_vs_pre	126	0.5143858017534892	0.35651245484221256	1.4428270170284772	0.15161099771130296	-0.1843786097372474	1.213150213244226
visceral	VEGFA	base	post_vs_pre	126	-0.2524669065651023	0.17607178630397918	-1.4338862112140485	0.15414204656201635	-0.5975676077209016	0.09263379459069693
visceral	CIDEA	base	post_vs_pre	126	-0.4635380806550531	0.3258165429598076	-1.4226965777862135	0.15735536049342144	-1.102138504856276	0.17506234354616979
visceral	PNPLA2	base	post_vs_pre	126	-0.26833230681764986	0.2033741438913829	-1.3194022685644815	0.18948541096095348	-0.6669456288447604	0.13028101520946062
visceral	FOS	base	post_vs_pre	126	-0.32077402713656206	0.2559357662509604	-1.253338022408419	0.2124599276623371	-0.8224081289884444	0.18086007471532023
visceral	FABP4	base	post_vs_pre	126	-0.22299927577277226	0.18523891922908806	-1.203846776373087	0.2309604819979711	-0.5860675574617848	0.1400690059162403
visceral	ADRB1	base	post_vs_pre	126	-0.2310745632584213	0.19660134193565512	-1.175345808850322	0.2421265415288801	-0.6164131934523054	0.15426406693546274
visceral	LIPE	base	post_vs_pre	126	-0.30398619760210543	0.2789350418401276	-1.0898099987607006	0.27792733629807825	-0.8506988796087555	0.24272648440454458
visceral	PLIN1	base	post_vs_pre	126	-0.3302061108780577	0.3117709072677492	-1.0591306089842318	0.291615777700679	-0.9412770891228461	0.2808648673667307
visceral	ADRA2C	base	post_vs_pre	126	-0.19777561087719142	0.1902143837328979	-1.0397510797864327	0.30049510607743973	-0.5705958029936713	0.17504458123928845
visceral	MGLL	base	post_vs_pre	126	-0.12178336573804614	0.12020942647361302	-1.013093309822742	0.3130043310446299	-0.35739384162632765	0.11382711015023537
visceral	NR4A1	base	post_vs_pre	126	0.2559860407063889	0.26526495844960074	0.9650201903883404	0.3364282118818379	-0.2639332778548285	0.7759053592676064
visceral	ADRA2A	base	post_vs_pre	126	-0.17049070853451403	0.21758747899101338	-0.783550180943801	0.4348102917307798	-0.5969621673569003	0.2559807502878722
visceral	PPARGC1A	base	post_vs_pre	126	0.08870057722682899	0.11577940545129917	0.7661170558017724	0.4450744232457865	-0.13822705745771735	0.31562821191137536
visceral	ABHD5	base	post_vs_pre	126	-0.09949122885298448	0.13929333198758376	-0.7142569384574192	0.4764216018187405	-0.37250615954864863	0.1735237018426797
visceral	LPL	base	post_vs_pre	126	-0.1622351204821699	0.25421718906645113	-0.6381752590292485	0.524545981973794	-0.6605008110524141	0.33603057008807435
visceral	EGR1	base	post_vs_pre	126	-0.1536812176848223	0.2618118160138505	-0.5869911451081802	0.5582855448807785	-0.6668323770719693	0.35946994170232466
visceral	ADRB2	base	post_vs_pre	126	0.07964259295590397	0.1438359832804383	0.5537042340832341	0.5807864440558786	-0.20227593427375512	0.3615611201855631
visceral	G0S2	base	post_vs_pre	126	-0.16629528295026513	0.30371709811211833	-0.5475334908174204	0.5850044368372666	-0.7615807952500171	0.4289902293494868
visceral	JUN	base	post_vs_pre	126	0.08743747114877623	0.20111154591642325	0.4347710160067736	0.6644904779063575	-0.3067411588474134	0.4816161011449658
