depot	menopause_def	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	3group	acute_beta_adrenergic	base	peri_vs_pre	180	-0.0876628478253025	0.1363450274894624	-0.6429486240858885	0.5210941887252012	-0.3548991017046488	0.17957340605404382
visceral	3group	acute_beta_adrenergic	base	post_vs_pre	180	0.09730313116551503	0.13720377349939974	0.7091869901518468	0.4791468378642205	-0.17161626489330845	0.3662225272243385
visceral	3group	acute_beta_adrenergic	base	post_vs_peri	180	0.18496597899081751	0.1452675229818466	1.2732782606469573	0.20459848154387092	-0.09975836605360178	0.4696903240352368
visceral	3group	acute_beta_adrenergic	rin	peri_vs_pre	180	-0.06479945530325003	0.13645633384670955	-0.47487319552380436	0.6354694502117852	-0.33225386964280074	0.20265495903630065
visceral	3group	acute_beta_adrenergic	rin	post_vs_pre	180	0.12070598475099792	0.13734130744057718	0.8788760424697661	0.38067364480960997	-0.14848297783253334	0.3898949473345292
visceral	3group	acute_beta_adrenergic	rin	post_vs_peri	180	0.18550544005424796	0.14460482955720186	1.2828440144239228	0.2012431746164744	-0.09792002587786769	0.4689309059863636
visceral	3group	acute_beta_adrenergic	rin_isch	peri_vs_pre	180	-0.0633128917510058	0.13682578377299554	-0.46272632251861784	0.6441387037929258	-0.33149142794607706	0.20486564444406546
visceral	3group	acute_beta_adrenergic	rin_isch	post_vs_pre	180	0.1253555030855279	0.13811640990052498	0.9076075983716357	0.3653408474772041	-0.14535266031950106	0.39606366649055685
visceral	3group	acute_beta_adrenergic	rin_isch	post_vs_peri	180	0.1886683948365337	0.14514515408322287	1.2998601023107916	0.19536827126151424	-0.09581610716658312	0.4731528968396505
visceral	3group	acute_beta_adrenergic	rin_isch_hardy	peri_vs_pre	180	-0.037912127320220694	0.1425003888166787	-0.2660492903566263	0.7905236409110786	-0.31721288940091097	0.24138863476046957
visceral	3group	acute_beta_adrenergic	rin_isch_hardy	post_vs_pre	180	0.17322070721032895	0.14636705726279564	1.18346785437736	0.23827605769701157	-0.1136587250247505	0.4601001394454084
