gene_set	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p
GOBP_RESPONSE_TO_ESTRADIOL	180	0.005616860286325028	0.2996365576318506	-0.0017786871067443845	0.7437823668091652	-0.007395547393069413	0.2002798578424426
GOBP_RESPONSE_TO_ESTROGEN	180	0.002038753393787744	0.7694989400623924	-0.003682544133788575	0.5990013827469043	-0.00572129752757632	0.440555357318828
HALLMARK_ESTROGEN_RESPONSE_EARLY	180	-0.016083857794869746	0.06597034006581105	-0.012065343768894168	0.16958385607345128	0.004018514025975578	0.664921284773798
HALLMARK_ESTROGEN_RESPONSE_LATE	180	-0.01164340152399998	0.18266062375647033	-0.01411966478592826	0.1086964038383776	-0.0024762632619282805	0.7897370205134076
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	180	-0.012944197568199728	0.326356645457205	3.6572200228325634e-4	0.9779854114215735	0.013309919570482984	0.3434800663140535
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	180	0.009028605938137993	0.39245843616862097	0.02708100789978719	0.011456481798944105	0.018052401961649197	0.10944956905420149
