depot	gene_set	sex	age_bin_label	n	mean	se
subcutaneous	HALLMARK_GLYCOLYSIS	Male	20-29	38	0.14125183744042838	0.050496225916372005
subcutaneous	HALLMARK_GLYCOLYSIS	Male	30-39	44	-0.007414505249100531	0.033830293202653204
subcutaneous	HALLMARK_GLYCOLYSIS	Male	40-49	66	0.050654870749017124	0.02972035363836122
subcutaneous	HALLMARK_GLYCOLYSIS	Male	50-59	156	-0.009100887207085072	0.01919865248335136
subcutaneous	HALLMARK_GLYCOLYSIS	Male	60-69	163	-0.043242909294873205	0.01996577550692875
subcutaneous	HALLMARK_GLYCOLYSIS	Male	70-79	14	0.0059842541541906755	0.06284516632772319
subcutaneous	HALLMARK_GLYCOLYSIS	Female	20-29	19	0.1854425694336995	0.06096624734894809
subcutaneous	HALLMARK_GLYCOLYSIS	Female	30-39	16	-0.06692855903169485	0.043466701699954896
subcutaneous	HALLMARK_GLYCOLYSIS	Female	40-49	43	0.01950652564315879	0.03259445773247538
subcutaneous	HALLMARK_GLYCOLYSIS	Female	50-59	76	-0.018556557282246696	0.024715396858208605
subcutaneous	HALLMARK_GLYCOLYSIS	Female	60-69	70	-0.025119871322426716	0.03130076141911799
subcutaneous	HALLMARK_GLYCOLYSIS	Female	70-79	9	-0.013627014596488983	0.11401092571459844
subcutaneous	HALLMARK_HYPOXIA	Male	20-29	38	-0.014999002882047837	0.04093639463541964
subcutaneous	HALLMARK_HYPOXIA	Male	30-39	44	-0.01828086080624129	0.038611477366308114
subcutaneous	HALLMARK_HYPOXIA	Male	40-49	66	0.011405308747060828	0.03136804180216429
subcutaneous	HALLMARK_HYPOXIA	Male	50-59	156	-0.01545660699484824	0.01718443142375225
subcutaneous	HALLMARK_HYPOXIA	Male	60-69	163	0.021148775293425636	0.019137040394801647
subcutaneous	HALLMARK_HYPOXIA	Male	70-79	14	-0.029603576710400068	0.03999546880496279
subcutaneous	HALLMARK_HYPOXIA	Female	20-29	19	0.020473235928362477	0.04386240260758093
subcutaneous	HALLMARK_HYPOXIA	Female	30-39	16	-0.13407218896800224	0.046605663646781106
subcutaneous	HALLMARK_HYPOXIA	Female	40-49	43	-0.03059307316246352	0.03772017165543811
subcutaneous	HALLMARK_HYPOXIA	Female	50-59	76	0.018376507392407974	0.025422632912042355
subcutaneous	HALLMARK_HYPOXIA	Female	60-69	70	0.005137647888263222	0.030426246699532564
subcutaneous	HALLMARK_HYPOXIA	Female	70-79	9	0.1461573080926273	0.17584340672736487
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Male	20-29	38	0.5469016656061422	0.11888590323676773
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Male	30-39	44	0.05558779849088683	0.06988197757059172
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Male	40-49	66	0.10955766610829171	0.07958134973814315
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Male	50-59	156	-0.035690576346255894	0.04606296709650273
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Male	60-69	163	-0.16407635346496963	0.04242000783117673
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Male	70-79	14	0.1323745096447331	0.17170084263986662
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Female	20-29	19	0.6640494924666083	0.149139105189807
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Female	30-39	16	0.15600393244247354	0.16085940987620237
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Female	40-49	43	0.04452580566467278	0.09003202879170134
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Female	50-59	76	-0.04446868012136954	0.058980800172700444
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Female	60-69	70	-0.16135848124635768	0.07872263898811692
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Female	70-79	9	-0.2614332825618789	0.23395537034761063
