depot	sex	age_bin_label	family	gene	n	mean_vst	sd_vst
subcutaneous	Male	50-59	alpha2	ADRA2B	156	10.145533628524158	0.9337617032223172
subcutaneous	Male	50-59	alpha2	ADRA2C	156	10.525760679709332	1.025877460208765
subcutaneous	Male	60-69	beta	ADRB1	163	7.1839241406436605	1.1464322137592167
subcutaneous	Male	60-69	beta	ADRB2	163	10.947766575441138	0.8976813084999772
subcutaneous	Male	60-69	beta	ADRB3	163	4.912910987933828	0.6250205644167478
subcutaneous	Male	60-69	alpha2	ADRA2A	163	12.972812918050613	0.7358932565410095
subcutaneous	Male	60-69	alpha2	ADRA2B	163	10.29163499722661	0.9369695594517287
subcutaneous	Male	60-69	alpha2	ADRA2C	163	10.6007620848322	1.0820278709766489
subcutaneous	Male	70-79	beta	ADRB1	14	7.249389507137305	0.9076627754170292
subcutaneous	Male	70-79	beta	ADRB2	14	11.05964635091409	0.5975165033806236
subcutaneous	Male	70-79	beta	ADRB3	14	4.827960177955167	0.7147079617333779
subcutaneous	Male	70-79	alpha2	ADRA2A	14	13.036312230436067	0.8693527029987335
subcutaneous	Male	70-79	alpha2	ADRA2B	14	9.755123985091409	1.1795265197287041
subcutaneous	Male	70-79	alpha2	ADRA2C	14	10.654826090939348	0.84442054015645
subcutaneous	Female	20-29	beta	ADRB1	19	8.221304433137275	0.9932022266585956
subcutaneous	Female	20-29	beta	ADRB2	19	11.712224697292049	0.695304707738628
subcutaneous	Female	20-29	beta	ADRB3	19	5.8326766318776055	1.1352617094828554
subcutaneous	Female	20-29	alpha2	ADRA2A	19	13.620345670303527	0.8853778284009223
subcutaneous	Female	20-29	alpha2	ADRA2B	19	9.188274975149756	0.8050202844397192
subcutaneous	Female	20-29	alpha2	ADRA2C	19	10.18733742749413	0.8599659863306439
subcutaneous	Female	30-39	beta	ADRB1	16	8.081160436911237	1.105925144614975
subcutaneous	Female	30-39	beta	ADRB2	16	11.595140065627666	0.7145588635764211
subcutaneous	Female	30-39	beta	ADRB3	16	5.06161866694948	0.8658078015639208
subcutaneous	Female	30-39	alpha2	ADRA2A	16	12.83993757952325	0.6680589178080525
subcutaneous	Female	30-39	alpha2	ADRA2B	16	9.42621601717088	0.842151528928392
