var1	var2	r
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	review:tgfb_alk7_axis	0.1435551067578569
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	1
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	ADRB2	-0.16791326757816735
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	ADRB3	-0.10592520492007737
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	TGFB1	0.33826898882551765
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	ACVR1C	-0.19025664462194697
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	TNF	0.5194463088134242
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	IKBKE	0.2025859533334288
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	TBK1	0.6203364108875653
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	PDE3B	-0.07255934838964498
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	adipocyte	-0.22530556406999103
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	aspc	0.04649154913311815
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	endothelial	0.021859903390449048
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	macrophage	0.06763168271240136
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	t_cell	0.17936473390850594
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	nk_cell	-0.18494493435366252
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	mast_cell	NA
ADRB2	inflammation_cytokines	-0.2478932755248671
ADRB2	macrophage_markers	-0.12878501310229806
ADRB2	fibrosis	-0.44184444099609166
ADRB2	senescence	-0.29665506605776865
ADRB2	review:tgfb_alk7_axis	0.08930206117242885
ADRB2	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.16791326757816735
ADRB2	ADRB2	1
ADRB2	ADRB3	0.2626442373544932
ADRB2	TGFB1	-0.26468359890336157
ADRB2	ACVR1C	0.3567583966229379
ADRB2	TNF	-0.13269119024055137
ADRB2	IKBKE	-0.28153036989009644
ADRB2	TBK1	-0.022285701916689514
ADRB2	PDE3B	0.341032368621845
ADRB2	adipocyte	0.38483234954877654
ADRB2	aspc	-0.521271069217695
ADRB2	endothelial	0.365112512622381
ADRB2	macrophage	0.002069220925101989
ADRB2	t_cell	-0.06135402296044964
ADRB2	nk_cell	0.06926124626470218
ADRB2	mast_cell	NA
ADRB3	inflammation_cytokines	-0.10696750587210418
ADRB3	macrophage_markers	-0.0363170933835838
ADRB3	fibrosis	-0.1646114404951399
ADRB3	senescence	-0.30313811188648654
ADRB3	review:tgfb_alk7_axis	0.0990369775293086
ADRB3	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.10592520492007737
ADRB3	ADRB2	0.2626442373544932
ADRB3	ADRB3	1
ADRB3	TGFB1	-0.32143989073891677
ADRB3	ACVR1C	0.4235518638899313
ADRB3	TNF	-0.09248177495064412
ADRB3	IKBKE	-0.10306665554822238
ADRB3	TBK1	-0.1882986398889101
ADRB3	PDE3B	0.39631527444206516
ADRB3	adipocyte	0.4253800954589259
ADRB3	aspc	-0.3000508927624907
ADRB3	endothelial	-0.020820294176041986
ADRB3	macrophage	0.13540891617663697
ADRB3	t_cell	-0.0280198407704729
ADRB3	nk_cell	-0.10851074037098848
ADRB3	mast_cell	NA
TGFB1	inflammation_cytokines	0.3199262661204334
TGFB1	macrophage_markers	0.43365982467097935
TGFB1	fibrosis	0.5967443285583516
TGFB1	senescence	0.5727779906062598
TGFB1	review:tgfb_alk7_axis	0.5155244823621358
TGFB1	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.33826898882551765
TGFB1	ADRB2	-0.26468359890336157
TGFB1	ADRB3	-0.32143989073891677
TGFB1	TGFB1	1
TGFB1	ACVR1C	-0.4684690161705038
TGFB1	TNF	0.2715085913294763
TGFB1	IKBKE	0.38754508150459277
TGFB1	TBK1	0.011095672354649373
TGFB1	PDE3B	-0.41447496836446585
TGFB1	adipocyte	-0.5014221065623616
TGFB1	aspc	0.3954280819940617
TGFB1	endothelial	-0.1345157681976927
TGFB1	macrophage	0.03270629760997453
TGFB1	t_cell	0.04308265565261195
TGFB1	nk_cell	-0.04792480615141463
TGFB1	mast_cell	NA
ACVR1C	inflammation_cytokines	-0.3955209407709929
ACVR1C	macrophage_markers	-0.045376736972432975
ACVR1C	fibrosis	-0.3407157927752473
ACVR1C	senescence	-0.4288699215654908
ACVR1C	review:tgfb_alk7_axis	0.5155244823621359
ACVR1C	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.19025664462194697
ACVR1C	ADRB2	0.3567583966229379
ACVR1C	ADRB3	0.4235518638899313
ACVR1C	TGFB1	-0.4684690161705038
ACVR1C	ACVR1C	1
ACVR1C	TNF	-0.3204471924104556
ACVR1C	IKBKE	-0.2095005420443568
ACVR1C	TBK1	-0.18099138935609577
ACVR1C	PDE3B	0.8117599007115744
ACVR1C	adipocyte	0.7946262932200909
ACVR1C	aspc	-0.41300763972871724
ACVR1C	endothelial	-0.07394717296135134
ACVR1C	macrophage	0.3382126865868283
ACVR1C	t_cell	-0.07503252404282747
ACVR1C	nk_cell	-0.13249824795712795
ACVR1C	mast_cell	NA
TNF	inflammation_cytokines	0.7302578836079012
TNF	macrophage_markers	0.3177481982123876
TNF	fibrosis	0.3385863443402023
TNF	senescence	0.2756627911064338
TNF	review:tgfb_alk7_axis	-0.04746486612696103
TNF	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.5194463088134242
TNF	ADRB2	-0.13269119024055137
TNF	ADRB3	-0.09248177495064412
TNF	TGFB1	0.2715085913294763
TNF	ACVR1C	-0.3204471924104556
TNF	TNF	1
TNF	IKBKE	0.2946670132885535
TNF	TBK1	0.04781755217124593
TNF	PDE3B	-0.19469546961785705
TNF	adipocyte	-0.2825910668860122
TNF	aspc	0.14469675929467937
TNF	endothelial	-0.004066383394751617
TNF	macrophage	-0.11339712834537054
TNF	t_cell	-0.020935857059240465
TNF	nk_cell	0.014786808750136078
TNF	mast_cell	NA
IKBKE	inflammation_cytokines	0.26439495746301206
IKBKE	macrophage_markers	0.6084807171454673
IKBKE	fibrosis	0.5793839668411013
IKBKE	senescence	0.3678289016560199
IKBKE	review:tgfb_alk7_axis	0.17268291376234443
IKBKE	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.2025859533334288
IKBKE	ADRB2	-0.28153036989009644
IKBKE	ADRB3	-0.10306665554822238
IKBKE	TGFB1	0.38754508150459277
IKBKE	ACVR1C	-0.2095005420443568
IKBKE	TNF	0.2946670132885535
IKBKE	IKBKE	1
IKBKE	TBK1	-0.27955273459390667
IKBKE	PDE3B	-0.048860467838659744
IKBKE	adipocyte	-0.10060738778134379
IKBKE	aspc	0.2685042724416993
IKBKE	endothelial	-0.30714405068530054
IKBKE	macrophage	0.11312178203657594
IKBKE	t_cell	-0.1185589193237482
IKBKE	nk_cell	-0.041708134668442316
IKBKE	mast_cell	NA
TBK1	inflammation_cytokines	0.18796360424108205
TBK1	macrophage_markers	0.009739331406359747
TBK1	fibrosis	-0.02753393593231664
TBK1	senescence	0.17437461301659016
TBK1	review:tgfb_alk7_axis	-0.1647794845969132
TBK1	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.6203364108875653
TBK1	ADRB2	-0.022285701916689514
TBK1	ADRB3	-0.1882986398889101
TBK1	TGFB1	0.011095672354649373
TBK1	ACVR1C	-0.18099138935609577
TBK1	TNF	0.04781755217124593
TBK1	IKBKE	-0.27955273459390667
TBK1	TBK1	1
TBK1	PDE3B	-0.17882240221001103
TBK1	adipocyte	-0.25084791101832243
TBK1	aspc	-0.01860870554210465
TBK1	endothelial	0.22383504703915857
TBK1	macrophage	-0.021544084632833266
TBK1	t_cell	0.2465550301088415
TBK1	nk_cell	-0.040222719052601066
TBK1	mast_cell	NA
PDE3B	inflammation_cytokines	-0.3049177232076433
PDE3B	macrophage_markers	0.10325330600952731
PDE3B	fibrosis	-0.1878544749666438
PDE3B	senescence	-0.38648754322481427
PDE3B	review:tgfb_alk7_axis	0.38532111077125475
PDE3B	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.07255934838964498
PDE3B	ADRB2	0.341032368621845
PDE3B	ADRB3	0.39631527444206516
PDE3B	TGFB1	-0.41447496836446585
PDE3B	ACVR1C	0.8117599007115744
PDE3B	TNF	-0.19469546961785705
PDE3B	IKBKE	-0.048860467838659744
PDE3B	TBK1	-0.17882240221001103
PDE3B	PDE3B	1
PDE3B	adipocyte	0.8462511465539304
PDE3B	aspc	-0.45463840231498626
PDE3B	endothelial	-0.04777205735190519
PDE3B	macrophage	0.2731517619131175
PDE3B	t_cell	-0.04437538074100074
PDE3B	nk_cell	-0.16540655985694716
PDE3B	mast_cell	NA
adipocyte	inflammation_cytokines	-0.4337751108074642
adipocyte	macrophage_markers	-0.04589293971704234
adipocyte	fibrosis	-0.3673616795718362
adipocyte	senescence	-0.5052630321783105
adipocyte	review:tgfb_alk7_axis	0.2843746482361674
adipocyte	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.22530556406999103
adipocyte	ADRB2	0.38483234954877654
adipocyte	ADRB3	0.4253800954589259
adipocyte	TGFB1	-0.5014221065623616
adipocyte	ACVR1C	0.7946262932200909
adipocyte	TNF	-0.2825910668860122
adipocyte	IKBKE	-0.10060738778134379
adipocyte	TBK1	-0.25084791101832243
adipocyte	PDE3B	0.8462511465539304
adipocyte	adipocyte	1
adipocyte	aspc	-0.5649087582626273
adipocyte	endothelial	-0.0818449852228154
adipocyte	macrophage	0.2324112771017857
adipocyte	t_cell	-0.16936042208421162
adipocyte	nk_cell	-0.1721937203436649
adipocyte	mast_cell	NA
aspc	inflammation_cytokines	0.19191961309326921
aspc	macrophage_markers	0.14568298825018489
aspc	fibrosis	0.5645035496968164
aspc	senescence	0.5322015741516437
aspc	review:tgfb_alk7_axis	-0.017050167679821843
aspc	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.04649154913311815
aspc	ADRB2	-0.521271069217695
aspc	ADRB3	-0.3000508927624907
aspc	TGFB1	0.3954280819940617
aspc	ACVR1C	-0.41300763972871724
aspc	TNF	0.14469675929467937
aspc	IKBKE	0.2685042724416993
aspc	TBK1	-0.01860870554210465
aspc	PDE3B	-0.45463840231498626
aspc	adipocyte	-0.5649087582626273
aspc	aspc	1
aspc	endothelial	-0.3915026862800565
aspc	macrophage	0.018275744800432304
aspc	t_cell	-0.10084275303217106
aspc	nk_cell	-0.12893433237820168
aspc	mast_cell	NA
endothelial	inflammation_cytokines	0.005424261473334881
