sex	age_bin_label	n
Male	20-29	35
Male	30-39	34
Male	40-49	54
Male	50-59	142
Male	60-69	125
Male	70-79	17
Female	20-29	18
Female	30-39	18
Female	40-49	36
Female	50-59	54
Female	60-69	50
Female	70-79	4
