var1	var2	r
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	review:tgfb_alk7_axis	0.4610154527456224
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	1
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	ADRB2	0.023514775154906943
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	ADRB3	0.08386688170032565
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	TGFB1	0.4187316683454095
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	ACVR1C	0.13429838790397983
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	TNF	0.5993075300582353
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	IKBKE	0.1613737205546209
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	TBK1	0.6327590067260501
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	PDE3B	0.24595666158244867
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	adipocyte	0.06892349784561297
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	aspc	-0.27720948215991886
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	endothelial	-0.13441731265467663
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	macrophage	0.26719278054792317
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	t_cell	0.2353680024547906
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	nk_cell	-0.18375445909726418
review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	mast_cell	NA
ADRB2	inflammation_cytokines	0.10457302263151722
ADRB2	macrophage_markers	-0.03259201311703723
ADRB2	fibrosis	-0.19786428891021937
ADRB2	senescence	-0.0045685257762313955
ADRB2	review:tgfb_alk7_axis	0.11262396965966413
ADRB2	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.023514775154906943
ADRB2	ADRB2	1
ADRB2	ADRB3	0.11342831855537087
ADRB2	TGFB1	-0.14339071918904536
ADRB2	ACVR1C	0.2784934362562771
ADRB2	TNF	0.0541639607737462
ADRB2	IKBKE	-0.3418234542299558
ADRB2	TBK1	0.0844975102676776
ADRB2	PDE3B	0.3075346833012551
ADRB2	adipocyte	0.2591238469133605
ADRB2	aspc	-0.24501003644147268
ADRB2	endothelial	0.1551470139634135
ADRB2	macrophage	-0.13251431932849725
ADRB2	t_cell	-0.11130093546878407
ADRB2	nk_cell	0.0734623338440598
ADRB2	mast_cell	NA
ADRB3	inflammation_cytokines	0.17021108842329588
ADRB3	macrophage_markers	0.15033048630814178
ADRB3	fibrosis	0.02100015621087351
ADRB3	senescence	-0.09667259294212535
ADRB3	review:tgfb_alk7_axis	0.2325241705580103
ADRB3	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.08386688170032565
ADRB3	ADRB2	0.11342831855537087
ADRB3	ADRB3	1
ADRB3	TGFB1	-0.14319056471741157
ADRB3	ACVR1C	0.4221245014373019
ADRB3	TNF	0.07457007815193745
ADRB3	IKBKE	-0.15944407234429525
ADRB3	TBK1	-0.09664092437654542
ADRB3	PDE3B	0.4125490459418593
ADRB3	adipocyte	0.4565560199926518
ADRB3	aspc	-0.22139925333670832
ADRB3	endothelial	-0.257551616593141
ADRB3	macrophage	0.10377145554139597
ADRB3	t_cell	-0.13417649635933018
ADRB3	nk_cell	0.0029887859356387187
ADRB3	mast_cell	NA
TGFB1	inflammation_cytokines	0.2198852970063759
TGFB1	macrophage_markers	0.5335613045366829
TGFB1	fibrosis	0.6250185547079417
TGFB1	senescence	0.39466416193139037
TGFB1	review:tgfb_alk7_axis	0.5997955740482939
TGFB1	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.4187316683454095
TGFB1	ADRB2	-0.14339071918904536
TGFB1	ADRB3	-0.14319056471741157
TGFB1	TGFB1	1
TGFB1	ACVR1C	-0.2804905387041553
TGFB1	TNF	0.20050924197355566
TGFB1	IKBKE	0.44755275691624674
TGFB1	TBK1	0.2266027050634302
TGFB1	PDE3B	-0.2423190351400599
TGFB1	adipocyte	-0.34675608778025685
TGFB1	aspc	0.10239709532498475
TGFB1	endothelial	-0.06382665413067547
TGFB1	macrophage	0.29851355303872407
TGFB1	t_cell	0.12252800943403691
TGFB1	nk_cell	-0.08246010073846695
TGFB1	mast_cell	NA
ACVR1C	inflammation_cytokines	0.2099091595932321
ACVR1C	macrophage_markers	0.16723862380858528
ACVR1C	fibrosis	-0.11219264335666063
ACVR1C	senescence	-0.20859448475662348
ACVR1C	review:tgfb_alk7_axis	0.5997955740482939
ACVR1C	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.13429838790397983
ACVR1C	ADRB2	0.2784934362562771
ACVR1C	ADRB3	0.4221245014373019
ACVR1C	TGFB1	-0.2804905387041553
ACVR1C	ACVR1C	1
ACVR1C	TNF	0.11819844139477635
ACVR1C	IKBKE	-0.2639043715852029
ACVR1C	TBK1	-0.13833810670893587
ACVR1C	PDE3B	0.8648045382235466
ACVR1C	adipocyte	0.7984697008713829
ACVR1C	aspc	-0.4166299809160869
ACVR1C	endothelial	-0.3983890950559728
ACVR1C	macrophage	0.18782422226369663
ACVR1C	t_cell	-0.12596077658787508
ACVR1C	nk_cell	-0.09974996746427289
ACVR1C	mast_cell	NA
TNF	inflammation_cytokines	0.6860810336485582
TNF	macrophage_markers	0.4140787762995306
TNF	fibrosis	0.23854028151881396
TNF	senescence	0.10959721407876152
TNF	review:tgfb_alk7_axis	0.26568025603892714
TNF	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.5993075300582353
TNF	ADRB2	0.0541639607737462
TNF	ADRB3	0.07457007815193745
TNF	TGFB1	0.20050924197355566
TNF	ACVR1C	0.11819844139477635
TNF	TNF	1
TNF	IKBKE	0.11550356236572934
TNF	TBK1	0.12392634243614377
TNF	PDE3B	0.1938807197123847
TNF	adipocyte	0.13052342982882995
TNF	aspc	-0.1394604365081131
TNF	endothelial	-0.17818561879095227
TNF	macrophage	0.1428043588977349
TNF	t_cell	0.031167309184292304
TNF	nk_cell	0.01968459144050744
TNF	mast_cell	NA
IKBKE	inflammation_cytokines	0.029760059822406242
IKBKE	macrophage_markers	0.3605769359222734
IKBKE	fibrosis	0.3797210540895659
IKBKE	senescence	0.1428483518929817
IKBKE	review:tgfb_alk7_axis	0.1530924812361628
IKBKE	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.1613737205546209
IKBKE	ADRB2	-0.3418234542299558
IKBKE	ADRB3	-0.15944407234429525
IKBKE	TGFB1	0.44755275691624674
IKBKE	ACVR1C	-0.2639043715852029
IKBKE	TNF	0.11550356236572934
IKBKE	IKBKE	1
IKBKE	TBK1	-0.1390983609072766
IKBKE	PDE3B	-0.256857803830928
IKBKE	adipocyte	-0.2436997256856228
IKBKE	aspc	0.14086413260268077
IKBKE	endothelial	-0.22697331434002932
IKBKE	macrophage	0.2750159420079984
IKBKE	t_cell	0.053337288096164656
IKBKE	nk_cell	0.03148056180019636
IKBKE	mast_cell	NA
