depot	sex	set_name	category	fraction	rho	p	n
subcutaneous	Female	dnl_lipogenesis	metabolism	aspc	-0.35549079207507506	3.00154547884064e-8	233
subcutaneous	Female	dnl_lipogenesis	metabolism	macrophage	0.2438828868827389	1.776731515977665e-4	233
subcutaneous	Female	dnl_lipogenesis	metabolism	endothelial	-0.0852259575065554	0.19473015116821035	233
subcutaneous	Female	dnl_lipogenesis	metabolism	t_cell	-0.13837027508035352	0.034848923070912634	233
subcutaneous	Female	adrenergic_beta	adrenergic	adipocyte	0.6202543661418658	3.6512287413721074e-26	233
subcutaneous	Female	adrenergic_beta	adrenergic	aspc	-0.579986376900688	0	233
subcutaneous	Female	adrenergic_beta	adrenergic	macrophage	0.11217521810240473	0.08754665151931865	233
subcutaneous	Female	adrenergic_beta	adrenergic	endothelial	0.19476762939098297	0.0028726732944343424	233
subcutaneous	Female	adrenergic_beta	adrenergic	t_cell	-0.21500969554839616	9.79820487192752e-4	233
subcutaneous	Female	adrenergic_alpha2	adrenergic	adipocyte	-0.08828729701534259	0.1792644184115268	233
subcutaneous	Female	adrenergic_alpha2	adrenergic	aspc	0.04227999074084615	0.5204726776037784	233
subcutaneous	Female	adrenergic_alpha2	adrenergic	macrophage	-0.21856631109997987	8.028529832203728e-4	233
subcutaneous	Female	adrenergic_alpha2	adrenergic	endothelial	-0.06787737692725113	0.3019641946132002	233
subcutaneous	Female	adrenergic_alpha2	adrenergic	t_cell	-0.005099175404044428	0.9382491923664354	233
subcutaneous	Female	tgfb_alk7_axis	catecholamine_resistance	adipocyte	0.18999153263225652	0.003602054458010308	233
subcutaneous	Female	tgfb_alk7_axis	catecholamine_resistance	aspc	-0.13167920826645113	0.04470995080760909	233
subcutaneous	Female	tgfb_alk7_axis	catecholamine_resistance	macrophage	0.25382224701449213	9.403493005908293e-5	233
subcutaneous	Female	tgfb_alk7_axis	catecholamine_resistance	endothelial	-0.0024172463124660843	0.9707076805553947	233
subcutaneous	Female	tgfb_alk7_axis	catecholamine_resistance	t_cell	0.03909431055353802	0.5523998796262231	233
