gene_id	gene_symbol	log2FoldChange	padj
ENSG00000141753.7	IGFBP4	0.6623171819844323	0.024368843019301256
ENSG00000171345.13	KRT19	1.7120611083547816	0.05744033474592962
ENSG00000160180.17	TFF3	1.945279989034582	0.060758450705901954
ENSG00000170421.13	KRT8	0.90492859390986	0.07960103623551669
ENSG00000087088.21	BAX	0.29011900226733844	0.10188502407044736
ENSG00000026025.16	VIM	-0.2228470548523068	0.1831672145401352
ENSG00000125730.17	C3	0.5871869329324434	0.18739854301480588
ENSG00000177606.8	JUN	0.640869466539633	0.23995414105196244
ENSG00000100985.7	MMP9	0.8616585088773819	0.27957556689860025
ENSG00000129514.8	FOXA1	0.9492530359539679	0.30053979595200425
ENSG00000039068.20	CDH1	0.9446626036561186	0.3336663402741427
ENSG00000171791.14	BCL2	-0.3159299803752455	0.3362225076286774
ENSG00000087245.13	MMP2	0.5770381402471706	0.33708198640346215
ENSG00000136997.21	MYC	0.3671545562515903	0.37147298506387744
ENSG00000122691.13	TWIST1	-0.27837367399523594	0.3769369241976374
ENSG00000141736.14	ERBB2	0.24302771254653305	0.40127490181196046
ENSG00000131747.15	TOP2A	-0.5294659925071976	0.4147006253329809
ENSG00000140009.19	ESR2	-0.3849943233011726	0.4531098717441823
ENSG00000145824.13	CXCL14	0.535060643420166	0.4689517432504911
ENSG00000117984.15	CTSD	-0.22174873697437142	0.5383461444944264
ENSG00000179388.9	EGR3	0.3604085740079322	0.5649081540392361
ENSG00000110092.4	CCND1	-0.3578974520623777	0.5837050363977387
ENSG00000146648.20	EGFR	-0.144470801373008	0.6527074628246614
ENSG00000091831.25	ESR1	-0.1489172165111004	0.6794997970754867
ENSG00000120738.8	EGR1	0.37057847501265934	0.7058825026359062
ENSG00000196611.6	MMP1	0.5868660875866252	0.7117600264723373
ENSG00000148516.23	ZEB1	0.08136907628799007	0.7375106031629199
ENSG00000117724.14	CENPF	-0.19208296565312877	0.7465078869390629
ENSG00000087586.18	AURKA	-0.120387185790741	0.7614095603414878
ENSG00000112715.26	VEGFA	-0.18512535254437715	0.8083698912343056
ENSG00000196208.14	GREB1	-0.21481314270031274	0.819553284691097
ENSG00000115461.5	IGFBP5	0.11332376029784061	0.822985176823639
ENSG00000148773.14	MKI67	-0.21683977273436614	0.8252122712236325
ENSG00000170345.10	FOS	0.17212503235327667	0.8614046192146009
ENSG00000107562.17	CXCL12	0.11699896638599487	0.8614750412826657
ENSG00000140443.15	IGF1R	0.056664469250873345	0.8817937088319152
ENSG00000082175.16	PGR	0.057322540667345163	0.9012872781197657
ENSG00000124216.4	SNAI1	0.07697527391545743	0.9154894586882422
ENSG00000019549.13	SNAI2	0.038508954407181696	0.9374488928601119
ENSG00000166851.15	PLK1	0.03683710923501282	0.9391872555829324
ENSG00000132646.11	PCNA	-0.01083073579317944	0.9629573650394853
ENSG00000107485.18	GATA3	0.027702998507251213	0.970044420236716
ENSG00000170558.10	CDH2	-0.012446518796361035	0.989497534355089
ENSG00000160182.3	TFF1	-0.990682449426082	NA
