gene_id	loading	tail
ENSG00000179914.5	0.11489295693163733	top
ENSG00000102854.16	0.09660355477873302	top
ENSG00000184937.16	0.0942784218990881	top
ENSG00000161905.13	0.09059360117912255	top
ENSG00000181143.15	0.08970286282312788	top
ENSG00000265190.7	0.07862321316058823	top
ENSG00000169594.14	0.0733332194632974	top
ENSG00000243566.7	0.07143017790602685	top
ENSG00000081479.15	0.0690783716793057	top
ENSG00000167757.14	0.06855783428760125	top
ENSG00000264230.9	0.06817615148592997	top
ENSG00000125872.8	0.06758925375392348	top
ENSG00000131668.14	0.06681900036887654	top
ENSG00000143375.15	0.06641953646617729	top
ENSG00000183242.13	0.06610571146174965	top
ENSG00000114638.8	0.06577823823341422	top
ENSG00000184731.6	0.06547303287048456	top
ENSG00000135127.12	0.06498619924091421	top
ENSG00000257017.10	0.06439227244988159	top
ENSG00000105509.11	0.06350320163772379	top
ENSG00000211892.4	0.06276417960435476	top
ENSG00000118849.10	0.062039945229832597	top
ENSG00000134762.17	0.06161158119060824	top
ENSG00000182870.13	0.06146432480804222	top
ENSG00000124920.14	0.05909859922443787	top
ENSG00000205038.12	0.05859996873618827	top
ENSG00000132872.12	0.05851118348583085	top
ENSG00000085552.18	0.05832182222086282	top
ENSG00000163347.6	0.058142004144471855	top
ENSG00000171345.13	0.05775885791433551	top
ENSG00000158764.7	0.0569980609475772	top
ENSG00000180440.4	0.05661839310288076	top
ENSG00000154639.19	0.0543670793373932	top
ENSG00000169035.12	0.0541405988237502	top
ENSG00000125848.10	0.05410348914509025	top
ENSG00000114200.10	0.054051911297514264	top
ENSG00000124875.10	0.05370384764280129	top
ENSG00000016082.15	0.05297750430946284	top
ENSG00000092295.12	0.05291118739002188	top
ENSG00000197506.8	0.052475832044982025	top
ENSG00000147647.13	0.052374881253039546	top
ENSG00000125735.11	0.05202811864089006	top
ENSG00000130700.7	0.0519491238868606	top
ENSG00000166923.12	0.051670840339487246	top
ENSG00000170421.13	0.051575638737961955	top
ENSG00000232044.8	0.0505186206336972	top
ENSG00000259663.2	0.049831585201242985	top
ENSG00000105894.12	0.049572061554604314	top
ENSG00000148204.12	0.04925343288338002	top
ENSG00000179292.5	0.0483652166963187	top
ENSG00000276850.5	0.04822467617806769	top
ENSG00000111057.11	0.0476655915290441	top
ENSG00000113645.15	0.04765609518671432	top
ENSG00000124107.5	0.04748594026578386	top
ENSG00000171798.19	0.04707595237769887	top
ENSG00000129451.12	0.04680684030395763	top
ENSG00000131037.15	0.04673083830633167	top
ENSG00000163739.5	0.04620112818001913	top
ENSG00000178401.16	0.0460579336129376	top
ENSG00000062038.15	0.04587030069506167	top
ENSG00000106809.11	0.04563241662273821	top
ENSG00000105825.14	0.04485371026594591	top
ENSG00000169218.14	0.04461864029155249	top
ENSG00000248300.1	0.04451192738844359	top
ENSG00000172508.11	0.04447306652971212	top
ENSG00000162366.8	0.043884262625128276	top
ENSG00000167754.13	0.04348121807750821	top
ENSG00000160183.17	0.04278225490784017	top
ENSG00000137463.5	0.0426466319799949	top
ENSG00000131094.4	0.04250054159358003	top
ENSG00000128342.5	0.04250045658760932	top
ENSG00000204677.13	0.042354017204594425	top
ENSG00000129455.15	0.04234206650031929	top
ENSG00000152092.16	0.04226833436399933	top
ENSG00000128965.13	0.04190699500066796	top
ENSG00000175745.14	0.041127320630274085	top
ENSG00000117152.14	0.04091604441964571	top
ENSG00000163082.10	0.04083012427347203	top
ENSG00000106018.14	0.03989201950101	top
ENSG00000125740.14	0.039880609079299446	top
ENSG00000141738.14	0.03947860367700294	top
ENSG00000276980.1	0.03901747749459639	top
ENSG00000109705.8	0.03890031614355241	top
ENSG00000153446.16	0.03875005133333245	top
ENSG00000224389.9	0.038170262072739845	top
ENSG00000103056.12	0.037981184731364706	top
ENSG00000131203.13	0.03796039213006906	top
ENSG00000143195.13	0.037929741220108906	top
ENSG00000126562.17	0.037838726996909856	top
ENSG00000128510.12	0.03783385827210783	top
ENSG00000250056.8	0.037785006660960886	top
ENSG00000287692.1	0.03768448104388749	top
ENSG00000125538.12	0.03757932569140227	top
ENSG00000174939.11	0.037441046657062646	top
ENSG00000112936.19	0.037393170713426335	top
ENSG00000177519.4	0.03723703769300472	top
ENSG00000107159.14	0.03697535195808384	top
ENSG00000205929.11	0.03691908230174217	top
ENSG00000146374.14	0.03681480861210529	top
ENSG00000143333.7	0.03680010369748118	top
ENSG00000109072.14	0.03652038358585207	top
ENSG00000118526.7	0.03645534232699393	top
ENSG00000183421.12	0.0363972586190085	top
ENSG00000214491.9	0.03578355991020203	top
ENSG00000243649.9	0.03557274310856094	top
ENSG00000197632.9	0.035499283179897756	top
ENSG00000211897.9	0.035485291124007445	top
ENSG00000006283.18	0.03504520218358442	top
ENSG00000079385.23	0.034856879648032135	top
ENSG00000169429.11	0.03462918303093871	top
ENSG00000100739.11	0.03447665151667066	top
ENSG00000145423.5	0.034407845495134336	top
ENSG00000172156.4	0.03428157905963164	top
ENSG00000120738.8	0.03426397789145514	top
ENSG00000106278.12	0.03426159705241631	top
ENSG00000197953.6	0.03414854213377283	top
ENSG00000211893.4	0.034104387638960995	top
ENSG00000134709.13	0.03409683071387494	top
ENSG00000102678.7	0.03398744608723416	top
ENSG00000162631.20	0.03395601160932262	top
ENSG00000141448.11	0.03384524484715807	top
ENSG00000137077.8	0.033675505952376325	top
ENSG00000286410.1	0.033632967744178	top
ENSG00000146678.10	0.03356550123101888	top
ENSG00000136155.17	0.033419419356417394	top
ENSG00000241644.2	0.03341046741527378	top
ENSG00000170074.19	0.033219122939093154	top
ENSG00000054803.4	0.03313352114904313	top
ENSG00000116661.11	0.03300011128755213	top
ENSG00000108691.9	0.032945537243261803	top
ENSG00000140015.20	0.03293119409329613	top
ENSG00000211896.7	0.03279689996685045	top
ENSG00000065325.13	0.03277116732115312	top
ENSG00000162891.11	0.032757363468788665	top
ENSG00000176532.4	0.03272949248927278	top
ENSG00000198400.13	0.03271330780098097	top
ENSG00000182230.12	0.03257035600540329	top
ENSG00000244731.8	0.03254465099288055	top
ENSG00000168824.15	0.032540457605370894	top
ENSG00000099812.9	0.032396286128140606	top
ENSG00000136244.12	0.03237518458054895	top
ENSG00000119919.12	0.032163610819326977	top
ENSG00000181085.15	0.03208118637749046	top
ENSG00000132321.17	0.032018754466117356	top
ENSG00000257894.2	0.03198775746625181	top
ENSG00000170382.12	0.03193587602018147	top
ENSG00000178882.15	0.03182314375093364	top
ENSG00000120068.7	0.03179437112332656	top
ENSG00000139304.16	0.031787744253557036	top
ENSG00000250125.4	0.03175613499159511	top
ENSG00000183783.7	0.03173390241624456	top
ENSG00000187720.15	0.031513040524357855	top
ENSG00000005187.12	0.03151213706128931	top
ENSG00000162493.17	0.03150219618760081	top
ENSG00000179388.9	0.03145830469592015	top
ENSG00000140563.16	0.031286063485934004	top
ENSG00000273760.1	0.03114910843248551	top
ENSG00000135480.17	0.03111115763605504	top
ENSG00000091972.18	0.031084985172269892	top
ENSG00000121207.12	0.031081605809017164	top
ENSG00000119508.18	0.03099534629377038	top
ENSG00000125966.10	0.030893572366144918	top
ENSG00000169583.13	0.03067880367697031	top
ENSG00000184905.9	0.03059886085493311	top
ENSG00000103569.10	0.030517950253936936	top
ENSG00000134716.11	0.030426581810086017	top
ENSG00000184613.11	0.030336787757273814	top
ENSG00000169071.15	0.03017824201609763	top
ENSG00000108947.5	0.029989210085854246	top
ENSG00000124171.9	0.029813329413001185	top
ENSG00000164520.12	0.029745983826244216	top
ENSG00000269959.1	0.02974384591191673	top
ENSG00000144810.16	0.02972715402403239	top
ENSG00000175928.6	0.029688543935107618	top
ENSG00000259583.4	0.029561852809993894	top
ENSG00000107317.13	0.029536991192361545	top
ENSG00000211895.5	0.02950717398657862	top
ENSG00000145506.14	0.029483296149743318	top
ENSG00000168389.18	0.029477587408045812	top
ENSG00000183114.8	0.029390347756446108	top
ENSG00000126259.20	0.029378653532857724	top
ENSG00000266010.3	0.02937182403225993	top
ENSG00000211899.10	0.029367782775356302	top
ENSG00000161270.20	0.029334826917449288	top
ENSG00000164078.14	0.02928081054312398	top
ENSG00000204388.7	0.029270106384088463	top
ENSG00000187634.13	0.029216267998642215	top
ENSG00000184557.4	0.029064477893772717	top
ENSG00000125144.14	0.02905343116572673	top
ENSG00000170345.10	0.02904275092869253	top
ENSG00000182255.7	0.02894680125530499	top
ENSG00000172367.16	0.02890255802935158	top
ENSG00000060709.16	0.028832454419916446	top
ENSG00000073756.13	0.028694862523731025	top
ENSG00000114115.10	0.028470155420643514	top
ENSG00000113578.18	0.02841519760659807	top
ENSG00000135472.9	0.028385248900309162	top
ENSG00000138135.7	0.028317430492059762	top
ENSG00000184254.17	0.02807666421280936	top
ENSG00000157502.13	0.028067701984787165	top
ENSG00000180818.5	-0.0645632044672227	bottom
ENSG00000112246.10	-0.06286273873296704	bottom
ENSG00000149968.12	-0.05695590192821899	bottom
ENSG00000168779.21	-0.054973690177682714	bottom
ENSG00000228630.5	-0.046397236840281464	bottom
ENSG00000092607.15	-0.04614057307024889	bottom
ENSG00000152977.10	-0.04544079714900543	bottom
ENSG00000174963.18	-0.04348322685291296	bottom
ENSG00000172927.9	-0.04266982500883161	bottom
ENSG00000253293.6	-0.04190193749940598	bottom
ENSG00000198914.5	-0.0417638917614557	bottom
ENSG00000123388.4	-0.04142637974053408	bottom
ENSG00000123407.4	-0.041171086346145955	bottom
ENSG00000005073.6	-0.0409494187169176	bottom
ENSG00000180806.5	-0.04029894725125672	bottom
ENSG00000198732.11	-0.0394208041290193	bottom
ENSG00000245694.11	-0.039167721627104087	bottom
ENSG00000170549.4	-0.03888536037572157	bottom
ENSG00000176842.16	-0.03859758402404259	bottom
ENSG00000203837.5	-0.03812104742397487	bottom
ENSG00000170370.12	-0.03785464637575565	bottom
ENSG00000106031.9	-0.03603813052166149	bottom
ENSG00000104435.14	-0.035485136705114564	bottom
ENSG00000186493.14	-0.03497164305432517	bottom
ENSG00000126778.12	-0.034920585737412885	bottom
ENSG00000229847.9	-0.03453497739644799	bottom
ENSG00000250451.5	-0.034048713783463413	bottom
ENSG00000089225.20	-0.03400108774776348	bottom
ENSG00000107984.10	-0.03385394856829357	bottom
ENSG00000064218.5	-0.03323182173611335	bottom
ENSG00000009694.13	-0.03246988715965621	bottom
ENSG00000124343.14	-0.032382234998391574	bottom
ENSG00000260877.3	-0.032379959118576884	bottom
ENSG00000037965.6	-0.031894000424326066	bottom
ENSG00000078399.19	-0.031805997271740556	bottom
ENSG00000180139.11	-0.03099918234191347	bottom
ENSG00000159212.13	-0.030959679303410047	bottom
ENSG00000177508.12	-0.030894692226118695	bottom
ENSG00000163064.7	-0.030649984564138158	bottom
