PC	covar	n	r	p
PC188	SMRIN	1301	-0.020899078146766552	0.4513451140651197
PC188	SMTSISCH	1301	0.015795486651670753	0.5692060079265464
PC189	SMRIN	1301	-0.00923375175563362	0.7393285667899749
PC189	SMTSISCH	1301	0.0092161851099833	0.7398065155019742
PC190	SMRIN	1301	0.004694918430550082	0.8656543201144521
PC190	SMTSISCH	1301	-0.0068369983815538575	0.8053941926762832
PC191	SMRIN	1301	-0.0031097480440661763	0.9107765227796519
PC191	SMTSISCH	1301	0.048064052987153896	0.0830999954736144
PC192	SMRIN	1301	9.678694397155213e-4	0.9721779007912005
PC192	SMTSISCH	1301	-0.040916523663998484	0.14020376921463737
PC193	SMRIN	1301	0.002806922947873374	0.9194338919536881
PC193	SMTSISCH	1301	1.259638959671415e-4	0.9963783569030312
PC194	SMRIN	1301	-0.026055653075867005	0.3476962206300451
PC194	SMTSISCH	1301	0.016486853413076437	0.5524189411250366
PC195	SMRIN	1301	0.0032023394730517993	0.9081315188465944
PC195	SMTSISCH	1301	2.9499319791180144e-4	0.9915186519252814
PC196	SMRIN	1301	-0.009022082377627937	0.7450942562585954
PC196	SMTSISCH	1301	-0.001120895370108563	0.9677812867779321
PC197	SMRIN	1301	-0.007941724377229781	0.7747385590020368
PC197	SMTSISCH	1301	-0.03980542970171107	0.15130257247721293
PC198	SMRIN	1301	-8.935271626589889e-4	0.9743141544898991
PC198	SMTSISCH	1301	0.009610818442074358	0.7290939564626862
PC199	SMRIN	1301	0.01023625463698524	0.7122245520914188
PC199	SMTSISCH	1301	-0.01967054415935763	0.47839219694598534
PC200	SMRIN	1301	0.0061946674543238095	0.8233602654175015
PC200	SMTSISCH	1301	0.028004955082342103	0.3128076206130012
PC201	SMRIN	1301	0.022878701106613362	0.4096355190611397
PC201	SMTSISCH	1301	-0.0016378799131444766	0.9529357304896331
PC202	SMRIN	1301	-0.00482253946053891	0.862038515302923
PC202	SMTSISCH	1301	-0.014925999156412073	0.5906571587747806
PC203	SMRIN	1301	-0.008212688691959144	0.7672706945156524
PC203	SMTSISCH	1301	0.021440082641805098	0.4397142097575151
PC204	SMRIN	1301	0.024102303901853736	0.3850409838856068
PC204	SMTSISCH	1301	-0.009118268513423232	0.7424724390805931
PC205	SMRIN	1301	0.01004241457938617	0.7174382759213059
PC205	SMTSISCH	1301	0.010634630222661253	0.7015517430057902
PC206	SMRIN	1301	0.025573441525229296	0.35669436703401414
PC206	SMTSISCH	1301	0.005773571507975673	0.8351893878529995
PC207	SMRIN	1301	0.020769000663277647	0.4541673194178709
PC207	SMTSISCH	1301	-0.04915854525940984	0.07631401317307335
PC208	SMRIN	1301	0.025072480005705382	0.3661961302562947
PC208	SMTSISCH	1301	-0.03645544346949361	0.18881321904229884
PC209	SMRIN	1301	0.024191549902666146	0.38328312134306375
PC209	SMTSISCH	1301	0.011202019164661245	0.6864523571930006
PC210	SMRIN	1301	-0.016910492964851524	0.5422538840760729
PC210	SMTSISCH	1301	0.015538884591017252	0.5754978832456855
PC211	SMRIN	1301	-2.578937657008034e-4	0.9925852646537618
PC211	SMTSISCH	1301	-0.007861882389122013	0.7769430408857028
PC212	SMRIN	1301	-0.025269105286004786	0.36244808007427953
PC212	SMTSISCH	1301	0.018559277222245534	0.5036002795834083
PC213	SMRIN	1301	-0.011313433095727911	0.6835018001758388
