PC	n_age	r_age	p_age	n_sex	r_sex	p_sex	lm_n	lm_beta_age_mid	lm_p_age_mid	lm_beta_sex_num	lm_p_sex_num
PC1	714	0.24033242743019032	7.706960939039277e-11	714	-0.019464539797417833	0.6035895109893297	714	0.15731023593572036	7.565002050818645e-11	-0.3922233500494706	0.5456919194925676
PC2	714	0.29710847890232633	5.109290582612627e-16	714	0.25943470322027107	1.90788680451508e-12	714	0.5638819480708825	8.4984945788336115e-17	13.38386378211797	3.1127288291524124e-13
PC3	714	0.28773452485348716	4.4540045577828656e-15	714	0.006105248447249822	0.8706344335894629	714	0.40161359033811506	4.6994174001088074e-15	0.11683556129203884	0.9319063564221539
PC4	714	-0.020567625271721564	0.5832264005047901	714	-0.325189571528012	4.765385075900255e-19	714	-0.02581005104710175	0.6290142642164233	-13.342502225639436	5.217273890976287e-19
PC5	714	-0.10818291769237014	0.003801683718261657	714	-0.13754047377569234	2.2755409011090727e-4	714	-0.11582366512903923	0.003966502724053976	-4.035102863670725	2.3802435683122864e-4
PC6	714	-0.020103145673087	0.5917617948185128	714	-0.07090565146642987	0.058262377131347284	714	-0.020715116723379615	0.6049503609012068	-2.0625799661707926	0.059133334413548996
PC7	714	0.03894606536340553	0.29869307880546947	714	-0.6799069572236422	5.275631189923912e-98	714	0.04161614359697549	0.09331741533230527	-16.735476531139685	3.013594676673511e-98
PC8	714	-0.049814992156863365	0.1836538269678776	714	0.6556150573498221	6.2423692058782395e-89	714	-0.05121558387283959	0.04490060241839051	16.14793347012931	2.6686374626441197e-89
PC9	714	0.08182242329721129	0.028801357171134637	714	-0.4583697927861299	2.2242593588142228e-38	714	0.05878230194971024	0.00917813781893473	-8.492032131861752	9.089730571384852e-39
PC10	714	-0.03327234203524686	0.3746747350837054	714	-0.12289118430268613	0.0010001852064651505	714	-0.02526011467776937	0.39028200618614484	-2.6389459256680987	0.0010354520966458836
PC11	714	-0.0010110447353208348	0.978484798940034	714	0.050518288998948176	0.17753494092068908	714	-0.0012063624542439744	0.967128614829859	1.076263517910749	0.17772380401243043
PC12	714	-0.031383680770663884	0.4024052302763098	714	0.07323217884163051	0.05046289401422758	714	-0.022412286165527307	0.3899490027225939	1.3977258630109217	0.04946232433101481
PC13	714	-0.007562591146648468	0.84013004158439	714	-0.010786935119370566	0.7735467989996183	714	-0.00491828586481847	0.8425955111015594	-0.19272659625325816	0.7753118869935312
PC14	714	-0.03265967662190262	0.38353829800598804	714	-0.027417956515831104	0.4644841778413189	714	-0.018296132872268965	0.38789568220954596	-0.417151510954283	0.47016804498765785
PC15	714	0.011944717445395903	0.750011432198928	714	0.02764999911419399	0.4607113425495881	714	0.007960966335721818	0.7559825739560094	0.5125995253486294	0.46301577576529307
PC16	714	0.016470063709846508	0.6604067677789813	714	-0.05403400108446873	0.14920235321133693	714	0.010460593148992307	0.6491597169770019	-0.9071644042500513	0.14810452496396115
PC17	714	-0.1565688172133484	2.6427108466540328e-5	714	-0.003610853582860226	0.9232695402321452	714	-0.0969650599457606	2.6865434691474708e-5	-0.033084882155199884	0.9578295899787128
PC18	714	-0.07657615350708821	0.040796372317364854	714	0.04870244460569124	0.19364946855111287	714	-0.04384169885311398	0.03935281966532789	0.7675822201478631	0.18534246074132854
PC19	714	0.23031721263425695	4.742941022764199e-10	714	0.058994267323078026	0.11526044232551638	714	0.11852103585361724	5.060834977840325e-10	0.7956624134755449	0.12095112222243642
PC20	714	-0.04568004562693502	0.22280465867154783	714	0.029591200510039092	0.4298271863487412	714	-0.022520243663932037	0.21975217456380183	0.4014271858810218	0.4221662401689812
PC21	714	-0.12115694728819532	0.00117991277739714	714	-0.06292153794897937	0.09295116630965003	714	-0.05286067868659025	0.0012372494778774632	-0.7372198374313127	0.09751857671277073
PC22	714	0.12525644011101017	7.95648454472645e-4	714	-0.009400547335822585	0.8020032487299116	714	0.06146974482983514	7.937684392529654e-4	-0.14332746347716668	0.7732796399373953
PC23	714	0.09793650224178946	0.008827794323218006	714	0.0048648260186936925	0.8967523977491014	714	0.0444117403646173	0.00890680602807551	0.0473924759610889	0.9182538185359498
