gene_id,gene_symbol
ENSG00000202035.1,Y_RNA
ENSG00000202041.1,Y_RNA
ENSG00000202046.1,Y_RNA
ENSG00000202071.1,Y_RNA
ENSG00000202078.1,Y_RNA
ENSG00000202079.1,Y_RNA
ENSG00000202100.1,Y_RNA
ENSG00000202137.1,Y_RNA
ENSG00000202141.1,Y_RNA
ENSG00000202144.1,Y_RNA
ENSG00000202146.1,Y_RNA
ENSG00000202169.1,Y_RNA
ENSG00000202177.1,Y_RNA
ENSG00000202182.1,Y_RNA
ENSG00000202190.1,Y_RNA
ENSG00000202195.1,Y_RNA
ENSG00000202200.1,Y_RNA
ENSG00000202211.1,Y_RNA
ENSG00000202222.1,Y_RNA
ENSG00000202224.1,Y_RNA
ENSG00000202251.1,Y_RNA
ENSG00000202254.1,Y_RNA
ENSG00000202255.1,Y_RNA
ENSG00000202272.1,Y_RNA
ENSG00000202273.1,Y_RNA
ENSG00000202276.1,Y_RNA
ENSG00000202279.1,Y_RNA
ENSG00000202306.1,Y_RNA
ENSG00000202309.1,Y_RNA
ENSG00000202310.1,Y_RNA
ENSG00000202318.1,Y_RNA
ENSG00000202332.1,Y_RNA
ENSG00000202345.1,Y_RNA
ENSG00000202357.1,Y_RNA
ENSG00000202361.1,Y_RNA
ENSG00000202368.1,Y_RNA
ENSG00000202382.1,Y_RNA
ENSG00000202385.1,Y_RNA
ENSG00000202388.1,Y_RNA
ENSG00000202399.1,Y_RNA
ENSG00000202402.1,Y_RNA
ENSG00000202407.1,Y_RNA
ENSG00000202410.1,Y_RNA
ENSG00000202414.1,Y_RNA
ENSG00000202417.1,Y_RNA
ENSG00000202438.1,Y_RNA
ENSG00000202459.1,Y_RNA
ENSG00000202461.1,Y_RNA
ENSG00000202469.1,Y_RNA
ENSG00000202470.1,Y_RNA
ENSG00000202476.1,Y_RNA
ENSG00000202495.1,Y_RNA
ENSG00000202508.1,Y_RNA
ENSG00000202514.1,Y_RNA
ENSG00000202522.1,Y_RNA
ENSG00000202523.1,Y_RNA
ENSG00000202533.1,Y_RNA
ENSG00000202536.2,Y_RNA
ENSG00000202542.1,Y_RNA
ENSG00000206582.1,Y_RNA
ENSG00000206636.1,Y_RNA
ENSG00000206640.1,Y_RNA
ENSG00000206645.1,Y_RNA
ENSG00000206646.1,Y_RNA
ENSG00000206651.1,Y_RNA
ENSG00000206659.1,Y_RNA
ENSG00000206660.1,Y_RNA
ENSG00000206662.1,Y_RNA
ENSG00000206663.1,Y_RNA
ENSG00000206669.1,Y_RNA
ENSG00000206672.1,Y_RNA
ENSG00000206676.1,Y_RNA
ENSG00000206677.2,Y_RNA
ENSG00000206679.1,Y_RNA
ENSG00000206682.1,Y_RNA
ENSG00000206690.1,Y_RNA
ENSG00000206692.1,Y_RNA
ENSG00000206699.1,Y_RNA
ENSG00000206704.1,Y_RNA
ENSG00000206705.1,Y_RNA
ENSG00000206706.1,Y_RNA
ENSG00000206711.1,Y_RNA
ENSG00000206713.1,Y_RNA
ENSG00000206714.1,Y_RNA
ENSG00000206717.1,Y_RNA
ENSG00000206719.1,Y_RNA
ENSG00000206721.1,Y_RNA
ENSG00000206728.1,Y_RNA
ENSG00000206734.1,Y_RNA
ENSG00000206738.1,Y_RNA
ENSG00000206739.1,Y_RNA
ENSG00000206741.1,Y_RNA
ENSG00000206751.1,Y_RNA
ENSG00000206756.1,Y_RNA
ENSG00000206768.1,Y_RNA
ENSG00000206770.1,Y_RNA
ENSG00000206779.1,Y_RNA
ENSG00000206781.1,Y_RNA
ENSG00000206784.1,Y_RNA
ENSG00000206790.1,Y_RNA
ENSG00000206792.1,Y_RNA
ENSG00000206795.1,Y_RNA
ENSG00000206797.1,Y_RNA
ENSG00000206805.1,Y_RNA
ENSG00000206806.1,Y_RNA
ENSG00000206808.1,Y_RNA
ENSG00000206813.1,Y_RNA
ENSG00000206814.1,Y_RNA
ENSG00000206816.1,Y_RNA
ENSG00000206817.1,Y_RNA
ENSG00000206822.1,Y_RNA
ENSG00000206824.1,Y_RNA
ENSG00000206840.1,Y_RNA
ENSG00000206844.1,Y_RNA
ENSG00000206846.1,Y_RNA
ENSG00000206847.1,Y_RNA
ENSG00000206850.1,Y_RNA
ENSG00000206858.1,Y_RNA
ENSG00000206862.1,Y_RNA
ENSG00000206865.1,Y_RNA
ENSG00000206895.1,Y_RNA
ENSG00000206905.1,Y_RNA
ENSG00000206911.1,Y_RNA
ENSG00000206912.1,Y_RNA
ENSG00000206914.1,Y_RNA
ENSG00000206925.1,Y_RNA
ENSG00000206927.1,Y_RNA
ENSG00000206929.1,Y_RNA
ENSG00000206950.1,Y_RNA
ENSG00000206957.2,Y_RNA
ENSG00000206959.1,Y_RNA
ENSG00000206964.1,Y_RNA
ENSG00000206978.1,Y_RNA
ENSG00000206982.1,Y_RNA
ENSG00000206995.1,Y_RNA
ENSG00000206998.1,Y_RNA
ENSG00000207009.1,Y_RNA
ENSG00000207020.1,Y_RNA
ENSG00000207021.1,Y_RNA
ENSG00000207024.1,Y_RNA
ENSG00000207025.1,Y_RNA
ENSG00000207032.1,Y_RNA
ENSG00000207034.1,Y_RNA
ENSG00000207039.1,Y_RNA
ENSG00000207049.1,Y_RNA
ENSG00000207061.1,Y_RNA
ENSG00000207069.1,Y_RNA
ENSG00000207073.1,Y_RNA
ENSG00000207075.1,Y_RNA
ENSG00000207080.2,Y_RNA
ENSG00000207086.1,Y_RNA
ENSG00000207091.1,Y_RNA
ENSG00000207092.1,Y_RNA
ENSG00000207101.1,Y_RNA
ENSG00000207105.1,Y_RNA
ENSG00000207108.1,Y_RNA
ENSG00000207117.1,Y_RNA
ENSG00000207123.1,Y_RNA
ENSG00000207127.1,Y_RNA
ENSG00000207131.1,Y_RNA
ENSG00000207132.1,Y_RNA
ENSG00000207139.1,Y_RNA
ENSG00000207142.1,Y_RNA
ENSG00000207146.1,Y_RNA
ENSG00000207151.1,Y_RNA
ENSG00000207161.1,Y_RNA
ENSG00000207164.1,Y_RNA
ENSG00000207173.1,Y_RNA
ENSG00000207176.1,Y_RNA
ENSG00000207189.1,Y_RNA
ENSG00000207193.1,Y_RNA
ENSG00000207195.1,Y_RNA
ENSG00000207196.1,Y_RNA
ENSG00000207207.1,Y_RNA
ENSG00000207209.1,Y_RNA
ENSG00000207210.1,Y_RNA
ENSG00000207218.1,Y_RNA
ENSG00000207223.1,Y_RNA
ENSG00000207229.1,Y_RNA
ENSG00000207231.1,Y_RNA
ENSG00000207235.1,Y_RNA
ENSG00000207240.1,Y_RNA
ENSG00000207243.1,Y_RNA
ENSG00000207247.1,Y_RNA
ENSG00000207252.1,Y_RNA
ENSG00000207258.1,Y_RNA
ENSG00000207265.1,Y_RNA
ENSG00000207271.1,Y_RNA
ENSG00000207281.1,Y_RNA
ENSG00000207282.1,Y_RNA
ENSG00000207283.1,Y_RNA
ENSG00000207286.1,Y_RNA
ENSG00000207290.1,Y_RNA
ENSG00000207292.1,Y_RNA
ENSG00000207293.1,Y_RNA
ENSG00000207294.1,Y_RNA
ENSG00000207300.1,Y_RNA
ENSG00000207302.1,Y_RNA
ENSG00000207303.1,Y_RNA
ENSG00000207305.1,Y_RNA
ENSG00000207316.1,Y_RNA
ENSG00000207317.1,Y_RNA
ENSG00000207319.1,Y_RNA
ENSG00000207320.1,Y_RNA
ENSG00000207326.1,Y_RNA
ENSG00000207329.1,Y_RNA
ENSG00000207342.1,Y_RNA
ENSG00000207351.1,Y_RNA
ENSG00000207356.1,Y_RNA
ENSG00000207363.1,Y_RNA
ENSG00000207365.1,Y_RNA
ENSG00000207368.1,Y_RNA
ENSG00000207370.1,Y_RNA
ENSG00000207371.1,Y_RNA
ENSG00000207379.1,Y_RNA
ENSG00000207380.1,Y_RNA
ENSG00000207382.1,Y_RNA
ENSG00000207384.1,Y_RNA
ENSG00000207386.1,Y_RNA
ENSG00000207387.1,Y_RNA
ENSG00000207391.1,Y_RNA
ENSG00000207401.1,Y_RNA
ENSG00000207403.1,Y_RNA
ENSG00000207404.1,Y_RNA
ENSG00000207408.1,Y_RNA
ENSG00000207411.1,Y_RNA
ENSG00000207416.1,Y_RNA
ENSG00000207417.1,Y_RNA
ENSG00000207420.1,Y_RNA
ENSG00000207425.1,Y_RNA
ENSG00000207426.1,Y_RNA
ENSG00000207438.1,Y_RNA
ENSG00000207439.1,Y_RNA
ENSG00000207450.1,Y_RNA
ENSG00000207466.1,Y_RNA
ENSG00000207467.1,Y_RNA
ENSG00000207473.1,Y_RNA
ENSG00000207480.1,Y_RNA
ENSG00000207481.1,Y_RNA
ENSG00000207484.1,Y_RNA
ENSG00000207488.1,Y_RNA
ENSG00000207494.1,Y_RNA
ENSG00000207497.1,Y_RNA
ENSG00000207499.1,Y_RNA
ENSG00000207512.1,Y_RNA
ENSG00000207525.1,Y_RNA
ENSG00000212205.1,Y_RNA
ENSG00000212241.1,Y_RNA
ENSG00000212306.1,Y_RNA
ENSG00000212319.1,Y_RNA
ENSG00000212325.1,Y_RNA
ENSG00000212335.1,Y_RNA
ENSG00000212392.1,Y_RNA
ENSG00000212404.1,Y_RNA
ENSG00000212448.1,Y_RNA
ENSG00000212512.2,Y_RNA
ENSG00000212556.1,Y_RNA
ENSG00000212569.1,Y_RNA
ENSG00000222072.1,Y_RNA
ENSG00000222206.1,Y_RNA
ENSG00000222224.1,Y_RNA
ENSG00000222305.1,Y_RNA
ENSG00000222335.1,Y_RNA
ENSG00000222394.2,Y_RNA
ENSG00000222395.2,Y_RNA
ENSG00000222412.1,Y_RNA
ENSG00000222421.1,Y_RNA
ENSG00000222430.1,Y_RNA
ENSG00000222432.1,Y_RNA
ENSG00000222467.1,Y_RNA
ENSG00000222503.1,Y_RNA
ENSG00000222506.1,Y_RNA
ENSG00000222509.1,Y_RNA
ENSG00000222511.2,Y_RNA
ENSG00000222529.1,Y_RNA
ENSG00000222579.1,Y_RNA
ENSG00000222601.1,Y_RNA
ENSG00000222613.1,Y_RNA
ENSG00000222614.1,Y_RNA
ENSG00000222649.1,Y_RNA
ENSG00000222658.1,Y_RNA
ENSG00000222698.1,Y_RNA
ENSG00000222701.1,Y_RNA
ENSG00000222767.1,Y_RNA
ENSG00000222852.1,Y_RNA
ENSG00000222881.1,Y_RNA
ENSG00000222883.1,Y_RNA
ENSG00000222941.2,Y_RNA
ENSG00000222997.1,Y_RNA
ENSG00000223023.1,Y_RNA
ENSG00000223060.1,Y_RNA
ENSG00000223080.1,Y_RNA
ENSG00000223188.1,Y_RNA
ENSG00000223220.1,Y_RNA
ENSG00000223254.1,Y_RNA
ENSG00000223271.1,Y_RNA
ENSG00000223300.1,Y_RNA
ENSG00000223302.1,Y_RNA
ENSG00000238366.1,Y_RNA
ENSG00000238426.1,Y_RNA
ENSG00000238443.1,Y_RNA
ENSG00000238490.1,Y_RNA
ENSG00000238516.1,Y_RNA
ENSG00000238560.1,Y_RNA
ENSG00000238585.1,Y_RNA
ENSG00000238713.1,Y_RNA
ENSG00000238723.1,Y_RNA
ENSG00000238749.1,Y_RNA
ENSG00000238783.1,Y_RNA
ENSG00000238797.1,Y_RNA
ENSG00000238813.1,Y_RNA
ENSG00000238845.1,Y_RNA
ENSG00000238912.1,Y_RNA
ENSG00000238926.1,Y_RNA
ENSG00000238933.1,Y_RNA
ENSG00000238943.1,Y_RNA
ENSG00000239040.1,Y_RNA
ENSG00000239069.1,Y_RNA
ENSG00000239106.1,Y_RNA
ENSG00000239143.1,Y_RNA
ENSG00000239823.2,Y_RNA
ENSG00000251728.1,Y_RNA
ENSG00000251779.1,Y_RNA
ENSG00000251792.1,Y_RNA
ENSG00000251799.1,Y_RNA
ENSG00000251803.1,Y_RNA
ENSG00000251811.1,Y_RNA
ENSG00000251812.1,Y_RNA
ENSG00000251837.1,Y_RNA
ENSG00000251852.1,Y_RNA
ENSG00000251864.1,Y_RNA
ENSG00000251986.1,Y_RNA
ENSG00000251996.1,Y_RNA
ENSG00000252021.1,Y_RNA
ENSG00000252047.1,Y_RNA
ENSG00000252064.1,Y_RNA
ENSG00000252069.1,Y_RNA
ENSG00000252098.1,Y_RNA
ENSG00000252115.1,Y_RNA
ENSG00000252171.1,Y_RNA
ENSG00000252198.1,Y_RNA
ENSG00000252202.1,Y_RNA
ENSG00000252210.1,Y_RNA
ENSG00000252217.1,Y_RNA
ENSG00000252225.1,Y_RNA
ENSG00000252250.1,Y_RNA
ENSG00000252254.1,Y_RNA
ENSG00000252266.1,Y_RNA
ENSG00000252319.1,Y_RNA
ENSG00000252341.1,Y_RNA
ENSG00000252357.1,Y_RNA
ENSG00000252367.1,Y_RNA
ENSG00000252374.1,Y_RNA
ENSG00000252398.1,Y_RNA
ENSG00000252412.1,Y_RNA
ENSG00000252420.1,Y_RNA
ENSG00000252436.1,Y_RNA
ENSG00000252450.1,Y_RNA
ENSG00000252486.1,Y_RNA
ENSG00000252524.1,Y_RNA
ENSG00000252534.1,Y_RNA
ENSG00000252585.1,Y_RNA
ENSG00000252607.1,Y_RNA
ENSG00000252612.1,Y_RNA
ENSG00000252615.1,Y_RNA
ENSG00000252621.1,Y_RNA
ENSG00000252652.1,Y_RNA
ENSG00000252655.1,Y_RNA
ENSG00000252660.1,Y_RNA
ENSG00000252671.1,Y_RNA
ENSG00000252742.1,Y_RNA
ENSG00000252759.1,Y_RNA
ENSG00000252761.1,Y_RNA
ENSG00000252784.1,Y_RNA
ENSG00000252802.1,Y_RNA
ENSG00000252820.1,Y_RNA
ENSG00000252822.1,Y_RNA
ENSG00000252874.2,Y_RNA
ENSG00000252891.1,Y_RNA
ENSG00000252894.2,Y_RNA
ENSG00000252915.1,Y_RNA
ENSG00000252919.1,Y_RNA
ENSG00000252965.1,Y_RNA
ENSG00000252975.1,Y_RNA
ENSG00000253016.1,Y_RNA
ENSG00000253088.1,Y_RNA
ENSG00000253096.1,Y_RNA
ENSG00000265889.1,Y_RNA
ENSG00000265961.1,Y_RNA
ENSG00000267828.1,Y_RNA
ENSG00000272051.1,Y_RNA
ENSG00000272113.2,Y_RNA
ENSG00000273927.1,Y_RNA
ENSG00000273964.1,Y_RNA
ENSG00000274046.1,Y_RNA
ENSG00000274118.1,Y_RNA
ENSG00000274284.1,Y_RNA
ENSG00000274472.1,Y_RNA
ENSG00000274484.1,Y_RNA
ENSG00000274603.1,Y_RNA
ENSG00000274790.1,Y_RNA
ENSG00000274967.1,Y_RNA
ENSG00000274984.1,Y_RNA
ENSG00000275006.1,Y_RNA
ENSG00000275904.1,Y_RNA
ENSG00000275930.1,Y_RNA
ENSG00000276178.1,Y_RNA
ENSG00000276546.1,Y_RNA
ENSG00000276696.1,Y_RNA
ENSG00000276723.1,Y_RNA
ENSG00000276902.1,Y_RNA
ENSG00000277634.1,Y_RNA
ENSG00000277777.1,Y_RNA
ENSG00000277818.1,Y_RNA
ENSG00000278028.1,Y_RNA
ENSG00000278523.1,Y_RNA
ENSG00000283592.1,Y_RNA
ENSG00000283691.1,Y_RNA
ENSG00000214717.12_PAR_Y,ZBED1
