gene_id	loading
ENSG00000180139.11	0.047957187960893995
ENSG00000145423.5	0.04051114922683405
ENSG00000205795.5	0.03882449224133095
ENSG00000106483.12	0.038484051837137614
ENSG00000134817.12	0.037443599820370724
ENSG00000106819.13	0.03534626854253399
ENSG00000164530.15	0.03455749213718917
ENSG00000167371.21	0.034488210675157574
ENSG00000130032.17	0.0339412758001666
ENSG00000100448.4	0.03343227575442943
ENSG00000157368.12	0.033213232648152596
ENSG00000101825.8	0.03265941014324879
ENSG00000077274.9	0.032440422500969256
ENSG00000082684.16	0.03189382809850512
ENSG00000018236.15	0.03179506421129754
ENSG00000143320.9	0.031363106473106105
ENSG00000159713.11	0.03088330456633102
ENSG00000129244.9	0.03079781266360711
ENSG00000179772.8	0.030779708988497332
ENSG00000149534.9	0.030754985497959745
ENSG00000164694.17	0.03070262806108538
ENSG00000117425.14	0.030582833254228132
ENSG00000176907.5	0.03030712729204778
ENSG00000129048.7	0.03021561604859161
ENSG00000012817.16	0.029957188886446797
ENSG00000280073.1	0.02976676403052412
ENSG00000128606.13	0.029729624840942423
ENSG00000172061.9	0.02948873795115867
ENSG00000153993.14	0.02946423615314064
ENSG00000082196.21	0.029421890534875945
ENSG00000255690.3	0.029319385268212202
ENSG00000198626.18	0.02928202258484622
ENSG00000196666.6	0.029271044075679736
ENSG00000034971.17	0.029238314541625437
ENSG00000162631.20	0.0292004627472682
ENSG00000183801.8	0.0291034460463432
ENSG00000092009.10	0.02895334431554512
ENSG00000137809.17	0.028906413660446495
ENSG00000140287.11	0.028889973730341096
ENSG00000150471.17	0.028805898516785305
ENSG00000160097.20	0.028770350439636896
ENSG00000198542.15	0.028681521579504068
ENSG00000179639.11	0.028567254627460112
ENSG00000237070.1	0.028514833864020706
ENSG00000110900.16	0.028493343222789364
ENSG00000283787.2	0.02847389553021182
ENSG00000273179.1	0.028435856544708725
ENSG00000102678.7	0.02843492244373487
ENSG00000075035.10	0.028420551382217316
ENSG00000146197.9	0.028249087600930794
ENSG00000172724.12	0.028236393780805693
ENSG00000124749.17	0.028221345613638114
ENSG00000121005.9	0.02816613304265524
ENSG00000145824.13	0.02814225494590499
ENSG00000224259.8	0.02812409228553582
ENSG00000188394.8	0.02799448928656688
ENSG00000182575.8	0.02794066640766955
ENSG00000233098.10	0.027909873866922078
ENSG00000145861.9	0.027846886295779708
ENSG00000287319.1	0.027835137841159922
ENSG00000164488.12	0.027808461433972986
ENSG00000198774.5	0.027765206110668184
ENSG00000010932.17	0.02773481969809095
ENSG00000162998.5	0.02771047226531958
ENSG00000177098.9	0.027640441905196458
ENSG00000137501.18	0.027570662577790173
ENSG00000106809.11	0.027562320185792796
ENSG00000235162.9	0.0275014249665672
ENSG00000266524.3	0.02748816431098558
ENSG00000050165.19	0.027445630226123174
ENSG00000106511.6	0.02736212128351886
ENSG00000168077.14	0.0273375845651947
ENSG00000235505.8	0.027144101525782997
ENSG00000099725.14	0.027058160909023778
ENSG00000171724.3	0.027001963757158118
ENSG00000119147.10	0.026892527850106467
ENSG00000237807.4	0.026828131330636995
ENSG00000130513.7	0.026793520954082155
ENSG00000144730.19	0.026749292125324453
ENSG00000129824.16	0.026730739644968693
ENSG00000025423.11	0.026697817181805333
ENSG00000154096.14	0.02664593595064829
ENSG00000272668.2	0.026619944424728394
ENSG00000197380.11	0.02656158162214095
ENSG00000149633.12	0.026506157606759815
ENSG00000108821.14	0.026478889082321704
ENSG00000107821.15	0.026467829596317247
ENSG00000163395.17	0.02645290339895842
ENSG00000164764.11	0.026423845491954923
ENSG00000130176.8	0.026281803489593154
ENSG00000138669.10	0.02625280508774763
ENSG00000146013.11	0.0262026083290056
ENSG00000137077.8	0.026164453895486824
ENSG00000185652.12	0.026048711706823716
ENSG00000226674.11	0.026038116922819935
ENSG00000169245.6	0.025984980700332297
ENSG00000187955.13	0.025976386876855315
ENSG00000067048.17	0.02589223764178881
ENSG00000111728.11	0.025844459981840907
ENSG00000104435.14	0.02578220237858676
ENSG00000122420.10	0.02576317471345843
ENSG00000126368.6	0.025743506160930636
ENSG00000185745.10	0.025697155750392126
ENSG00000227544.10	0.02568629578614135
ENSG00000185070.12	0.025627820202887203
ENSG00000117600.14	0.02559368830512206
ENSG00000166482.12	0.02551056395549936
ENSG00000131080.15	0.02541546394640442
ENSG00000179240.13	0.025407402137261587
ENSG00000103742.12	0.025406521864400535
ENSG00000168779.21	0.025404097953329128
ENSG00000156475.19	0.025380886330796708
ENSG00000116132.12	0.02535579908612676
ENSG00000146250.7	0.025351426720925444
ENSG00000183230.18	0.025350964274450168
ENSG00000131002.13	0.025335632987953813
ENSG00000254366.7	0.025325277852670695
ENSG00000163017.14	0.02532347410654738
ENSG00000137573.14	0.02530138781819191
ENSG00000100626.17	0.025287995704825417
ENSG00000185008.17	0.025214644310974713
ENSG00000265485.8	0.025198318275947984
ENSG00000272573.6	0.025107507316471253
ENSG00000100628.12	0.025101567783052774
ENSG00000135406.14	0.02507936785309104
ENSG00000114374.13	0.025055026158696616
ENSG00000206579.9	0.024862395292319317
ENSG00000111087.10	0.02485513264012529
ENSG00000165449.12	0.02483726307069293
ENSG00000157103.12	0.02482367840623527
ENSG00000119922.11	0.02477852089321726
ENSG00000183715.14	0.02476184192735468
ENSG00000251301.8	0.024752649823904495
ENSG00000105516.11	0.024699827764502663
ENSG00000206384.11	0.024674918074126945
ENSG00000154263.18	0.024665637604904332
ENSG00000289203.1	0.024622781794256775
ENSG00000144057.16	0.02461375589986375
ENSG00000171864.5	0.024472299124067162
ENSG00000164484.12	0.02445959649226031
ENSG00000183878.16	0.0244416947542536
ENSG00000064205.11	0.024340565506393935
ENSG00000137959.17	0.024334009081645888
ENSG00000171812.13	0.024326884666824894
ENSG00000126950.8	0.0242533507574543
ENSG00000068615.20	0.02424741821862561
ENSG00000151617.17	0.02423093058731872
ENSG00000148357.18	0.02421965059106693
ENSG00000165966.16	0.024114470748805628
ENSG00000111674.9	0.02407888595627184
ENSG00000204403.10	0.024068356686013013
ENSG00000077264.16	0.02400875966132338
ENSG00000054803.4	0.024001951298762744
ENSG00000133392.18	0.023951723495276946
ENSG00000182389.20	0.023885972569305566
ENSG00000182580.3	0.0238355419857198
ENSG00000154027.19	0.02371712555454116
ENSG00000163347.6	0.023658094997360674
ENSG00000134201.12	0.023646710274630615
ENSG00000164932.13	0.023630094573703762
ENSG00000072195.15	0.023619431897583167
ENSG00000248441.8	0.02354480338341036
ENSG00000144596.13	0.023526178878227326
ENSG00000142149.9	0.023522506108666387
ENSG00000224713.4	0.02350869072971148
ENSG00000178531.6	0.02350037886467181
ENSG00000213145.10	0.023479165911146228
ENSG00000280304.1	0.023461115519040423
ENSG00000103710.11	0.023413843264509872
ENSG00000183454.18	0.023404891033912405
ENSG00000129009.13	0.023320028112021423
ENSG00000128849.11	0.023147320606020802
ENSG00000082175.16	0.02313900850924581
ENSG00000136011.15	0.02313182255427756
ENSG00000250208.7	0.023114223500895065
ENSG00000287666.1	0.023112616082234413
ENSG00000253875.2	0.02306983186504957
ENSG00000134253.10	0.023038172884067214
ENSG00000178662.16	0.02303269645449759
ENSG00000005379.17	0.022994390654306078
ENSG00000054179.12	0.02299135404034147
ENSG00000138755.6	0.022972213112344753
ENSG00000166448.15	0.02287927863468489
ENSG00000112183.15	0.022850170689691154
ENSG00000168229.4	0.022827334254222297
ENSG00000107796.13	0.022807405762460202
ENSG00000182107.7	0.022793114783885834
ENSG00000105855.10	0.022766154378662123
ENSG00000130592.17	0.02271195505081655
ENSG00000150636.17	0.02270192900940531
ENSG00000138735.16	0.02268232371871974
ENSG00000180875.5	0.022645841394617144
ENSG00000170370.12	0.022576930784682196
ENSG00000184564.11	0.022550785413448377
ENSG00000074047.22	0.02248099570950045
ENSG00000053328.9	0.022472915259106715
ENSG00000138696.11	0.02239378498734115
ENSG00000111404.7	0.022386775539437666
ENSG00000204219.11	0.02233474985342563
ENSG00000182667.15	0.022320445983521172
ENSG00000105650.22	0.022286452176390165
ENSG00000175084.13	0.022263154946133082
ENSG00000162267.13	0.022250276712071585
ENSG00000165238.17	0.022214025960249757
ENSG00000185985.11	0.022181143175469584
ENSG00000135318.12	0.02216772616174484
ENSG00000274565.1	0.02214740329779473
ENSG00000139329.5	0.022138660531473318
ENSG00000111816.8	0.022125009744501475
ENSG00000110492.17	0.022082533543424435
ENSG00000165186.12	0.022048494795184823
ENSG00000112218.9	0.022039559927047824
ENSG00000151917.18	0.022038172685253682
ENSG00000119938.9	0.02201313676855516
ENSG00000151320.11	0.022000270254895326
ENSG00000125851.10	0.0219830020886115
ENSG00000178031.18	0.0219783405559324
ENSG00000161381.14	0.02194994517854639
ENSG00000168743.13	0.02190423128809203
ENSG00000123560.14	0.021893368844466708
ENSG00000197261.12	0.021854530894598004
