PC	covar	n	p
PC33	SMGEBTCH	1301	7.847073104489473e-4
PC34	SMCENTER	1301	0.33219423591612907
PC34	SMNABTCH	1301	0.2332617281912533
PC34	SMGEBTCH	1301	1.1553998609111553e-4
PC35	SMCENTER	1301	0.4448700649238606
PC35	SMNABTCH	1301	0.2536277243347157
PC35	SMGEBTCH	1301	6.391663629732398e-5
PC36	SMCENTER	1301	0.017851480256851935
PC36	SMNABTCH	1301	0.15584544699953604
PC36	SMGEBTCH	1301	0.014394792363784083
PC37	SMCENTER	1301	0.6016061177940274
PC37	SMNABTCH	1301	0.021477819313332418
PC37	SMGEBTCH	1301	0.39319442887464096
PC38	SMCENTER	1301	0.5997710897251471
PC38	SMNABTCH	1301	0.2609526130237337
PC38	SMGEBTCH	1301	0.023417055584101686
PC39	SMCENTER	1301	2.3370106444670137e-4
PC39	SMNABTCH	1301	0.02182496738527796
PC39	SMGEBTCH	1301	0.02435188637436581
PC40	SMCENTER	1301	0.898299467216874
PC40	SMNABTCH	1301	0.09071986637810628
PC40	SMGEBTCH	1301	0.0011766267081634288
PC41	SMCENTER	1301	0.32878179945305813
PC41	SMNABTCH	1301	0.390651488493633
PC41	SMGEBTCH	1301	0.04503448415293044
PC42	SMCENTER	1301	0.22362186250248023
PC42	SMNABTCH	1301	0.7151980547456696
PC42	SMGEBTCH	1301	0.15255930322077615
PC43	SMCENTER	1301	0.22210206767290616
PC43	SMNABTCH	1301	0.13189310605803836
PC43	SMGEBTCH	1301	9.372837878110104e-6
PC44	SMCENTER	1301	0.6891589374953802
PC44	SMNABTCH	1301	0.1961218170915636
PC44	SMGEBTCH	1301	0.002531416361402731
PC45	SMCENTER	1301	0.1564149969097752
PC45	SMNABTCH	1301	0.8082646046771301
PC45	SMGEBTCH	1301	0.009089141470461332
PC46	SMCENTER	1301	0.12702298266356277
PC46	SMNABTCH	1301	0.10502259410876454
PC46	SMGEBTCH	1301	0.2999223889775984
PC47	SMCENTER	1301	0.009542335343462691
PC47	SMNABTCH	1301	0.26138067177496443
PC47	SMGEBTCH	1301	0.0028421982313827938
PC48	SMCENTER	1301	0.608096907497531
PC48	SMNABTCH	1301	7.833178497560454e-4
PC48	SMGEBTCH	1301	0.01420963831875927
PC49	SMCENTER	1301	0.713701682519143
PC49	SMNABTCH	1301	0.8549688902982521
PC49	SMGEBTCH	1301	0.019872868739523018
PC50	SMCENTER	1301	0.014672940139861092
PC50	SMNABTCH	1301	0.005695409311130087
PC50	SMGEBTCH	1301	0.029956527110707207
PC51	SMCENTER	1301	2.1430999513240927e-4
PC51	SMNABTCH	1301	0.0067932572347742855
PC51	SMGEBTCH	1301	0.01598612852762018
PC52	SMCENTER	1301	4.888081829470243e-5
PC52	SMNABTCH	1301	1.703213360509494e-4
PC52	SMGEBTCH	1301	1.7546294502950347e-4
PC53	SMCENTER	1301	0.11413292091019808
PC53	SMNABTCH	1301	0.08949185700742486
PC53	SMGEBTCH	1301	0.11896773379983253
PC54	SMCENTER	1301	0.02007327038139485
PC54	SMNABTCH	1301	0.0017312413495791424
PC54	SMGEBTCH	1301	1.5818008878237042e-9
PC55	SMCENTER	1301	0.6837286951064148
PC55	SMNABTCH	1301	0.3467029774266935
PC55	SMGEBTCH	1301	0.22149824514064256
PC56	SMCENTER	1301	0.38333188449982375
PC56	SMNABTCH	1301	0.18320416761941438
PC56	SMGEBTCH	1301	0.009468481220624799
PC57	SMCENTER	1301	0.35246791085202506
PC57	SMNABTCH	1301	0.1313241814782024
PC57	SMGEBTCH	1301	0.0017638402839246696
PC58	SMCENTER	1301	0.6494159373998702
PC58	SMNABTCH	1301	0.6401554356890397
PC58	SMGEBTCH	1301	0.301581274294744
PC59	SMCENTER	1301	0.06363637145533167
PC59	SMNABTCH	1301	0.3148846431450666
PC59	SMGEBTCH	1301	0.7104961539236352
PC60	SMCENTER	1301	0.21317046761662634
PC60	SMNABTCH	1301	0.0028548436175315274
PC60	SMGEBTCH	1301	0.004096709322467716
PC61	SMCENTER	1301	0.48785104212473646
PC61	SMNABTCH	1301	0.19599201740111674
PC61	SMGEBTCH	1301	0.009947654010932233
PC62	SMCENTER	1301	0.4250485493139035
PC62	SMNABTCH	1301	0.11028161933056221
PC62	SMGEBTCH	1301	0.013917165703919506
PC63	SMCENTER	1301	0.21175155006772023
PC63	SMNABTCH	1301	0.0954537711237578
PC63	SMGEBTCH	1301	4.0227349841834195e-4
PC64	SMCENTER	1301	0.010574350330943397
PC64	SMNABTCH	1301	0.006313246834970273
PC64	SMGEBTCH	1301	2.736315140142788e-5
PC65	SMCENTER	1301	0.3492202641924849
PC65	SMNABTCH	1301	0.387524865659766
PC65	SMGEBTCH	1301	0.008991182582722312
PC66	SMCENTER	1301	0.2010261536497891
PC66	SMNABTCH	1301	0.5927737428519435
PC66	SMGEBTCH	1301	3.8679458342342457e-4
PC67	SMCENTER	1301	0.7803577399485812
PC67	SMNABTCH	1301	0.07364676385601734
PC67	SMGEBTCH	1301	0.040051611050546186
PC68	SMCENTER	1301	0.1360859120219539
PC68	SMNABTCH	1301	0.4701518774748998
PC68	SMGEBTCH	1301	4.624256291506964e-4
PC69	SMCENTER	1301	0.027514042768574543
PC69	SMNABTCH	1301	0.0014958167362238552
PC69	SMGEBTCH	1301	1.699323316725056e-7
PC70	SMCENTER	1301	0.3966320242866862
PC70	SMNABTCH	1301	0.39148977275375946
PC70	SMGEBTCH	1301	0.3776201737539109
PC71	SMCENTER	1301	0.5512241127675166
PC71	SMNABTCH	1301	0.0657845811032607
PC71	SMGEBTCH	1301	1.5474340350293746e-6
PC72	SMCENTER	1301	0.4275919871954509
PC72	SMNABTCH	1301	0.11200941340935251
PC72	SMGEBTCH	1301	2.560316615443208e-4
PC73	SMCENTER	1301	0.0381758760211939
PC73	SMNABTCH	1301	0.2639457869761576
PC73	SMGEBTCH	1301	3.155249739183645e-5
PC74	SMCENTER	1301	0.1936161338788306
PC74	SMNABTCH	1301	0.6424542700571185
PC74	SMGEBTCH	1301	0.4128221985734497
PC75	SMCENTER	1301	0.8695391453376765
PC75	SMNABTCH	1301	0.6172226149462945
PC75	SMGEBTCH	1301	0.007789903671989882
PC76	SMCENTER	1301	0.751569643647848
PC76	SMNABTCH	1301	0.01907336164924303
PC76	SMGEBTCH	1301	1.3053336257843045e-4
PC77	SMCENTER	1301	0.02128572197567493
PC77	SMNABTCH	1301	0.6855827479238333
PC77	SMGEBTCH	1301	0.006025334637661782
PC78	SMCENTER	1301	0.9782201530943675
PC78	SMNABTCH	1301	0.1160323433940106
PC78	SMGEBTCH	1301	0.39521996445008933
PC79	SMCENTER	1301	0.8805397316237256
PC79	SMNABTCH	1301	0.21697607531571897
PC79	SMGEBTCH	1301	0.002897379563393442
PC80	SMCENTER	1301	0.3379529886740364
PC80	SMNABTCH	1301	0.03598562163229268
PC80	SMGEBTCH	1301	3.6108653148233094e-6
PC81	SMCENTER	1301	0.11662676981218018
PC81	SMNABTCH	1301	0.08448803602301114
PC81	SMGEBTCH	1301	1.991644703536372e-4
PC82	SMCENTER	1301	0.005092320979370386
PC82	SMNABTCH	1301	0.09732078575791797
PC82	SMGEBTCH	1301	4.740320551659085e-5
PC83	SMCENTER	1301	0.6425408450148897
PC83	SMNABTCH	1301	0.16365468900245553
PC83	SMGEBTCH	1301	0.0024914242354725333
PC84	SMCENTER	1301	0.06327081880647151
PC84	SMNABTCH	1301	0.7026647314829817
PC84	SMGEBTCH	1301	0.02895060241004006
PC85	SMCENTER	1301	0.5409621731288494
PC85	SMNABTCH	1301	0.3359229159944242
PC85	SMGEBTCH	1301	1.3358167426105115e-4
PC86	SMCENTER	1301	0.4381599031888412
PC86	SMNABTCH	1301	0.13117189671115995
PC86	SMGEBTCH	1301	0.004828461061145856
PC87	SMCENTER	1301	0.37657344027385536
PC87	SMNABTCH	1301	0.2295137138359533
PC87	SMGEBTCH	1301	0.09609009217368145
PC88	SMCENTER	1301	0.012457847484574638
PC88	SMNABTCH	1301	0.0333903513688166
PC88	SMGEBTCH	1301	0.006126182298778699
PC89	SMCENTER	1301	0.2919401133921735
PC89	SMNABTCH	1301	0.06632027162265826
PC89	SMGEBTCH	1301	2.843361789106106e-5
PC90	SMCENTER	1301	0.5362061694746709
PC90	SMNABTCH	1301	0.4484142994674458
PC90	SMGEBTCH	1301	4.583157680418105e-4
PC91	SMCENTER	1301	0.28603333282303534
PC91	SMNABTCH	1301	0.13528330668570873
PC91	SMGEBTCH	1301	4.8281787620954033e-4
PC92	SMCENTER	1301	0.1136533115761587
PC92	SMNABTCH	1301	0.8902585726985648
PC92	SMGEBTCH	1301	0.01605119351034963
PC93	SMCENTER	1301	0.6763379000381609
PC93	SMNABTCH	1301	0.021300678525587913
PC93	SMGEBTCH	1301	2.3319909058087043e-10
PC94	SMCENTER	1301	0.9937555233023654
PC94	SMNABTCH	1301	0.05337138240379269
PC94	SMGEBTCH	1301	0.009075777300715777
PC95	SMCENTER	1301	0.0778851808465589
PC95	SMNABTCH	1301	0.08636700854675028
PC95	SMGEBTCH	1301	0.06394170956386844
PC96	SMCENTER	1301	0.5294156395483847
PC96	SMNABTCH	1301	0.05559124645716541
PC96	SMGEBTCH	1301	3.671302213741523e-5
PC97	SMCENTER	1301	0.1487398988530551
PC97	SMNABTCH	1301	0.0063852849958235865
PC97	SMGEBTCH	1301	0.0014418584695317434
PC98	SMCENTER	1301	1.2936542672426621e-5
PC98	SMNABTCH	1301	3.355365865989524e-4
PC98	SMGEBTCH	1301	1.92152844128331e-12
PC99	SMCENTER	1301	0.5663468081903285
PC99	SMNABTCH	1301	0.019080192457914508
PC99	SMGEBTCH	1301	6.427658120262914e-9
PC100	SMCENTER	1301	0.5793460938094115
PC100	SMNABTCH	1301	0.03488025838221396
PC100	SMGEBTCH	1301	2.0482561955201788e-5
PC101	SMCENTER	1301	0.6943807747962553
PC101	SMNABTCH	1301	0.26740744394129506
PC101	SMGEBTCH	1301	1.7681187569077816e-8
PC102	SMCENTER	1301	0.39173671629157625
PC102	SMNABTCH	1301	0.4082661366420126
PC102	SMGEBTCH	1301	0.02592760957718454
PC103	SMCENTER	1301	0.47410295458436735
PC103	SMNABTCH	1301	0.2316451917952013
PC103	SMGEBTCH	1301	0.004761456027882111
PC104	SMCENTER	1301	0.013672002338462606
PC104	SMNABTCH	1301	0.26123764319312937
PC104	SMGEBTCH	1301	0.08363602292326551
PC105	SMCENTER	1301	0.1582061262294954
PC105	SMNABTCH	1301	0.5758405818139267
PC105	SMGEBTCH	1301	0.026138544342641956
