PC	n_age	r_age	p_age	n_sex	r_sex	p_sex	lm_n	lm_beta_age_mid	lm_p_age_mid	lm_beta_sex_num	lm_p_sex_num
PC1	1301	0.02979130935118437	0.28293052114617884	1301	0.044515107257518415	0.10851924546824164	1301	0.15226520442171723	1.4962444936658546e-6	1.910583329076356	0.028971458735713374
PC2	1301	0.30443041590146636	2.657352010437924e-29	1301	0.20244704910830208	1.6861891174225088e-13	1301	0.6300857135986617	4.8033217006468024e-29	11.593813476647572	5.556184632056168e-14
PC3	1301	0.08520506191433003	0.0020984400836589127	1301	-0.036013366177941375	0.19423504251680385	1301	0.130052179677122	0.002066833102285275	-1.611764838897958	0.1681989771664383
PC4	1301	0.09301126652018449	7.824851387421302e-4	1301	-0.21196474048888123	1.1094445419931485e-14	1301	0.13933907198956227	2.0311535024386204e-4	-8.269683577542203	3.4567570529925205e-15
PC5	1301	0.1282346653288309	3.482952719697485e-6	1301	-0.06960049127186715	0.012036280507280443	1301	0.15608310593586783	2.452277125587318e-6	-2.45447096587397	0.007395240693103228
PC6	1301	0.01084624904857823	0.695905969745676	1301	-0.024763345702114633	0.37213744521475656	1301	0.016970782234132613	0.5794973489109645	-0.8724294178056545	0.3046242931384942
PC7	1301	-8.278462964474266e-4	0.9762016728785479	1301	-0.6534243275933077	2.943588604717141e-159	1301	0.025746205740150636	0.2145878761463612	-17.987685037551774	2.071494824306601e-160
PC8	1301	-0.01803314255095923	0.5157750047616803	1301	0.6108099066104327	6.981174033996211e-134	1301	-0.038905518859163706	0.0612633971365617	16.05251729560746	3.031295352713319e-134
PC9	1301	0.017274953215817117	0.5335840058700567	1301	-0.251574583212631	3.1419245833553446e-20	1301	0.020826506925153823	0.3517176424496822	-5.806449840287073	3.352187856745338e-20
PC10	1301	-0.06746172569396991	0.014943873335127257	1301	-0.16150539952174886	4.676323878994478e-9	1301	-0.04526864535543343	0.03214430920271885	-3.486141728796062	3.372599580491222e-9
PC11	1301	0.06756541432660775	0.014789802400886008	1301	0.002921338626730181	0.9161617214829769	1301	0.0489775437627386	0.015679644503141802	0.014334696722471976	0.9796417431004458
PC12	1301	-0.046614371364223396	0.09283114824944574	1301	0.04066473915002932	0.142662367791932	1301	-0.0326984936990057	0.07965626800224661	0.7996652105054652	0.12231931836138941
PC13	1301	-0.009394412338728973	0.7349620420019312	1301	-0.04360501820175604	0.11594086231997819	1301	-0.004196037285445986	0.8205188359775578	-0.824693992939051	0.10818751424647113
PC14	1301	0.08930058780527361	0.0012625272971892492	1301	0.027040961615751292	0.32976301484973725	1301	0.05512400992323211	0.0010946591665916233	0.37103038961622936	0.42741929392063127
PC15	1301	-0.04426580041559808	0.11051393340664523	1301	0.006474836967321707	0.815511921931135	1301	-0.027669710259464943	0.09312189963406428	0.16377996787531676	0.7200300036945564
PC16	1301	0.0521720446167701	0.05993307733674318	1301	-6.259229750359863e-4	0.9820052768852698	1301	0.029030928049803867	0.06669028558776219	-0.022273182718339068	0.9595315703934658
PC17	1301	-0.09902226191982053	3.475169566823547e-4	1301	0.018043704386340415	0.5155291128796231	1301	-0.05452717084977016	2.700744812378041e-4	0.342554942200909	0.4083705963232742
PC18	1301	-0.041138064662509626	0.138067530654832	1301	-0.03068823018954894	0.26868242121804226	1301	-0.022238107453611013	0.13287316386281955	-0.40986402089378043	0.3179938505628999
PC19	1301	0.17108787490288194	5.266561634143082e-10	1301	0.0170497695742042	0.5389324667932979	1301	0.09083956259489276	3.38546340312219e-10	0.12552607142839364	0.752635075728905
PC20	1301	-0.07895846227164896	0.004376117245486699	1301	0.02039775113469763	0.46227648752840755	1301	-0.04038196321219538	0.0035314134312471918	0.3380903204833857	0.37797937347048105
PC21	1301	-0.12355043814143526	7.84991583907453e-6	1301	0.011403860096509044	0.6811105786521245	1301	-0.058757381917087244	7.506183936667309e-6	0.21156854697667216	0.5595731872615908
PC22	1301	0.12717880295586168	4.193634955408671e-6	1301	0.018428484451080203	0.5066125958741721	1301	0.05857149137094716	4.893042260670885e-6	0.17523530293283768	0.6208169101806706
PC23	1301	0.062472383450902315	0.024235496235662998	1301	-0.002286808122596067	0.9343250036575186	1301	0.027777697969769012	0.022236442147500046	-0.06610805341099883	0.8443665388154756
PC24	1301	0.09251155234124582	8.353948151974257e-4	1301	0.016536794948674223	0.5512157738191765	1301	0.039918664991833296	8.32993291584842e-4	0.14794614548930365	0.6546439336264482
PC25	1301	0.028431596974575372	0.3054899377539284	1301	0.014985567396568485	0.5891757573074473	1301	0.01154041761142268	0.32543915724004036	0.1688098172415483	0.6041020972358493
PC26	1301	0.004653020692418687	0.8668419984126685	1301	-0.005328833241766803	0.8477231655589388	1301	0.0021468991376579136	0.8475070968158842	-0.066214896166388	0.8307284958190907
PC27	1301	-0.05543361717694898	0.04560063445026675	1301	0.0071361963803608765	0.7970598784226902	1301	-0.021595564869912806	0.04961133500327885	0.0893515086688806	0.7695271023652932
PC28	1301	0.12254877296920032	9.304884032282976e-6	1301	0.01989196721727304	0.4734529972561927	1301	0.0464956624425102	1.1024589278812344e-5	0.16269616877686116	0.5778921876286913
PC29	1301	-0.08320862280814419	0.0026679865926981885	1301	0.004630277542300401	0.8674868261174621	1301	-0.03142471978831243	0.002585876511482597	0.08313981725108546	0.7734828092348337
PC30	1301	0.019504371560573778	0.4821173405480761	1301	0.005571676795238625	0.8408742788173829	1301	0.00717740909984819	0.4886133466395589	0.05047008026353048	0.86066297327977
PC31	1301	0.14642268576904804	1.1272608107954729e-7	1301	-0.007109053662973321	0.7978150156860001	1301	0.05410534113335251	1.0015127457578811e-7	-0.13384295358324788	0.633006784669997
PC32	1301	6.710249794422475e-5	0.9980707019769646	1301	-0.011478219643933097	0.6791466335969351	1301	-4.806198530539472e-5	0.9961751131604798	-0.10935084753369662	0.6942435894522558
PC33	1301	-0.04019543720705073	0.14733300449680856	1301	-0.02378184905268253	0.3913933932350465	1301	-0.013727172942320662	0.16108306726965468	-0.22116360725845188	0.4156347544730218
PC34	1301	0.01813260975120735	0.5134617035537287	1301	8.436597799365946e-6	0.9997574348564283	1301	0.006150224321838403	0.5192527353785914	-0.004587252999919472	0.9861753356256566
PC35	1301	0.10295966088925784	1.9921397608545138e-4	1301	0.009633845286963838	0.728470483776227	1301	0.03506412774060792	2.1851745830885102e-4	0.05563882509507545	0.8321299345398103
PC36	1301	-0.11544600644453441	2.9926362053356945e-5	1301	-0.005833485019111449	0.8335040006709358	1301	-0.03808648855706423	3.387082610453927e-5	-0.01689673807549423	0.9469709949435754
PC37	1301	0.03999720923069951	0.14934055178863365	1301	-0.011089718871779022	0.689431225311244	1301	0.013571761727801968	0.13849047933532674	-0.12126689833270157	0.6331637233920501
PC38	1301	-0.011079515447886445	0.6897021197616497	1301	0.01871059400217827	0.5001270912362263	1301	-0.003927843766236836	0.6626108217864626	0.17468997642400788	0.4843241539807217
PC39	1301	-0.043558757812760925	0.11632849477819585	1301	0.003250552271768097	0.9067546535009386	1301	-0.013587659393045796	0.12360178807055618	0.03587140299878301	0.8834590255880475
PC40	1301	-0.09420295150380685	6.685947804270384e-4	1301	0.007346764277353956	0.7912081666321094	1301	-0.029348235391717728	6.644587789609564e-4	0.09344050924007746	0.6954497143257399
