PC,covar,n,p
PC58,SMCENTER,1301,0.5986137594585274
PC59,SMCENTER,1301,0.04545936545279684
PC60,SMCENTER,1301,0.30517354813059067
PC61,SMCENTER,1301,0.3903945651044988
PC62,SMCENTER,1301,0.5152412733039502
PC63,SMCENTER,1301,0.06068011215741365
PC64,SMCENTER,1301,0.036388873848664724
PC65,SMCENTER,1301,0.3585604413787829
PC66,SMCENTER,1301,0.16314646876604458
PC67,SMCENTER,1301,0.8014310861975291
PC68,SMCENTER,1301,0.15824474227881147
PC69,SMCENTER,1301,0.043614942908639466
PC70,SMCENTER,1301,0.21876757833422456
PC71,SMCENTER,1301,0.632990242723715
PC72,SMCENTER,1301,0.4705444311852824
PC73,SMCENTER,1301,0.0370258932371394
PC74,SMCENTER,1301,0.217868612372762
PC75,SMCENTER,1301,0.8564008209580185
PC76,SMCENTER,1301,0.77120136828672
PC77,SMCENTER,1301,0.018164119074358817
PC78,SMCENTER,1301,0.9889433122223943
PC79,SMCENTER,1301,0.815537476242206
PC80,SMCENTER,1301,0.3797271100631397
PC81,SMCENTER,1301,0.06573617494583771
PC82,SMCENTER,1301,0.006282252749277979
PC83,SMCENTER,1301,0.8342924868033165
PC84,SMCENTER,1301,0.07825666938875926
PC85,SMCENTER,1301,0.40887132757336514
PC86,SMCENTER,1301,0.45248924815541935
PC87,SMCENTER,1301,0.2567113070729655
PC88,SMCENTER,1301,0.07255859794512644
PC89,SMCENTER,1301,0.14149807988326754
PC90,SMCENTER,1301,0.4602045650651554
PC91,SMCENTER,1301,0.1760865930937355
PC92,SMCENTER,1301,0.15288610893645666
PC93,SMCENTER,1301,0.7997412072310983
PC94,SMCENTER,1301,0.9593808180513836
PC95,SMCENTER,1301,0.0483676348553352
PC96,SMCENTER,1301,0.4735993589086818
PC97,SMCENTER,1301,0.05080568581619384
PC98,SMCENTER,1301,4.946434617688326e-5
PC99,SMCENTER,1301,0.6119423299531679
PC100,SMCENTER,1301,0.9917532657488053
PC101,SMCENTER,1301,0.6130297176253332
PC102,SMCENTER,1301,0.31337132401881046
PC103,SMCENTER,1301,0.652861764394457
PC104,SMCENTER,1301,0.014105959817360798
PC105,SMCENTER,1301,0.1565211116788694
PC106,SMCENTER,1301,0.791561199813246
PC107,SMCENTER,1301,0.10008124044811156
PC108,SMCENTER,1301,0.8878471731635158
PC109,SMCENTER,1301,0.5615234778308744
PC110,SMCENTER,1301,0.07203383713843331
PC111,SMCENTER,1301,0.9488633734283352
PC112,SMCENTER,1301,0.5084941495707189
PC113,SMCENTER,1301,0.3632732440883251
PC114,SMCENTER,1301,0.7858616783972113
PC115,SMCENTER,1301,0.3126259950982609
PC116,SMCENTER,1301,0.00332151020196011
PC117,SMCENTER,1301,0.1329741857659731
PC118,SMCENTER,1301,0.008279379639949548
PC119,SMCENTER,1301,0.8158605263985409
PC120,SMCENTER,1301,0.0024708618874058437
PC121,SMCENTER,1301,0.27163467762850124
PC122,SMCENTER,1301,0.008489112686481188
PC123,SMCENTER,1301,0.8727875408839714
PC124,SMCENTER,1301,0.8975166021170881
PC125,SMCENTER,1301,0.004204457026295937
PC126,SMCENTER,1301,0.5066100748293487
PC127,SMCENTER,1301,0.8438579707176352
PC128,SMCENTER,1301,0.13950178025006738
PC129,SMCENTER,1301,0.6555724005059986
PC130,SMCENTER,1301,0.03594868410340575
PC131,SMCENTER,1301,0.2042350419067048
PC132,SMCENTER,1301,0.0820715025257093
PC133,SMCENTER,1301,0.6287805326006424
PC134,SMCENTER,1301,0.24605046724300808
PC135,SMCENTER,1301,0.4899542580407584
PC136,SMCENTER,1301,0.5712168445918597
PC137,SMCENTER,1301,0.36808429384071323
PC138,SMCENTER,1301,0.22315073977111122
PC139,SMCENTER,1301,0.12416234579824564
PC140,SMCENTER,1301,0.8381126949576292
PC141,SMCENTER,1301,0.38734196790456704
PC142,SMCENTER,1301,0.8369598669315453
PC143,SMCENTER,1301,0.5586906741318283
PC144,SMCENTER,1301,0.22004209685678158
PC145,SMCENTER,1301,0.4945315249840925
PC146,SMCENTER,1301,0.52435734565903
PC147,SMCENTER,1301,0.3327645361338663
PC148,SMCENTER,1301,0.7989294151225994
PC149,SMCENTER,1301,0.07293950785180153
PC150,SMCENTER,1301,0.10548446388843989
PC151,SMCENTER,1301,0.718168637252214
PC152,SMCENTER,1301,0.19572105303143006
PC153,SMCENTER,1301,0.018244729712221727
PC154,SMCENTER,1301,0.43416990008885836
PC155,SMCENTER,1301,0.510427415821481
PC156,SMCENTER,1301,0.23940305038446186
PC157,SMCENTER,1301,0.5684000601470116
PC158,SMCENTER,1301,0.4035756053743621
PC159,SMCENTER,1301,0.9597189483180433
PC160,SMCENTER,1301,0.0031289175713968775
PC161,SMCENTER,1301,0.39107169859171464
PC162,SMCENTER,1301,0.16729945842382188
PC163,SMCENTER,1301,0.2333171766340802
PC164,SMCENTER,1301,0.22890886949260825
PC165,SMCENTER,1301,0.8286080520594563
PC166,SMCENTER,1301,0.7182180712229641
PC167,SMCENTER,1301,0.5851334886686632
PC168,SMCENTER,1301,0.1955820969013947
PC169,SMCENTER,1301,0.9910787173786392
PC170,SMCENTER,1301,0.320405279229792
PC171,SMCENTER,1301,0.9226335379853181
PC172,SMCENTER,1301,0.23559438678376418
PC173,SMCENTER,1301,0.40097856281149075
PC174,SMCENTER,1301,0.99605026383702
PC175,SMCENTER,1301,0.780934028999445
PC176,SMCENTER,1301,0.05342301820740272
PC177,SMCENTER,1301,0.8374124930101976
PC178,SMCENTER,1301,0.8866864957793442
PC179,SMCENTER,1301,0.0017360532601493992
PC180,SMCENTER,1301,0.5836803198357923
PC181,SMCENTER,1301,0.47231429619136
PC182,SMCENTER,1301,0.31127690311799916
PC183,SMCENTER,1301,0.4756670608312697
PC184,SMCENTER,1301,0.4622471472728313
PC185,SMCENTER,1301,0.15940225568538594
PC186,SMCENTER,1301,0.07092223275863524
PC187,SMCENTER,1301,0.6691676678635536
PC188,SMCENTER,1301,0.27845465269135494
PC189,SMCENTER,1301,0.08866947015669963
PC190,SMCENTER,1301,0.8171686794736348
PC191,SMCENTER,1301,0.6507641022162413
PC192,SMCENTER,1301,0.1626998583980338
PC193,SMCENTER,1301,0.4522049549060801
PC194,SMCENTER,1301,0.5159051345289393
PC195,SMCENTER,1301,0.382935061054219
PC196,SMCENTER,1301,0.6662156231343743
PC197,SMCENTER,1301,0.5003613258428086
PC198,SMCENTER,1301,0.02738865746093975
PC199,SMCENTER,1301,0.4193226848838128
PC200,SMCENTER,1301,0.5505004639407433
PC201,SMCENTER,1301,0.004691997476711679
PC202,SMCENTER,1301,0.40778994884356407
PC203,SMCENTER,1301,0.034417516757632896
PC204,SMCENTER,1301,0.9550238009749151
PC205,SMCENTER,1301,0.5644097837240709
PC206,SMCENTER,1301,0.5571209338532772
PC207,SMCENTER,1301,0.8185412532353746
PC208,SMCENTER,1301,0.7714175966543042
PC209,SMCENTER,1301,0.06495762128994163
PC210,SMCENTER,1301,0.6791002545142679
PC211,SMCENTER,1301,0.4883311272041895
PC212,SMCENTER,1301,0.9670439990934844
PC213,SMCENTER,1301,0.23010100807352463
PC214,SMCENTER,1301,0.5713107444910395
PC215,SMCENTER,1301,0.9007883440652406
PC216,SMCENTER,1301,0.3118541723158174
