age_bin_label	n	mean_score	sd_score	se_score
20-29	19	-0.10806300421641059	0.19432161866394768	0.044580436752705004
30-39	16	-0.17479470099833477	0.08104348955281211	0.020260872388203028
40-49	43	-0.0806208845659374	0.28599359620703535	0.04361361454585312
50-59	76	-0.04011806990243301	0.2835566862584182	0.032526182635939815
60-69	70	0.14727777617408463	0.5304138702453626	0.06339658325050382
70-79	9	0.11734881253549452	0.33503273795635535	0.11167757931878512
