score	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p	n_pre	n_peri	n_post
z_menopause_all	180	9.625272225345875e-4	0.9826106831489444	0.035507450776574884	0.4247000987571302	0.0345449235540403	0.46316486248906574	72	54	54
z_menopause_up	180	0.015435316397075505	0.7581762952536463	0.06362743602623894	0.20820682431758047	0.048192119629163435	0.3674348174375107	72	54	54
z_menopause_down	180	-0.13342765796963157	0.06252460895422034	-0.2256066979703056	0.0019213381206581966	-0.09217904000067403	0.22582756072729962	72	54	54
z_menopause_signed	180	0.14886297436670684	0.12304927454643996	0.2892341339965445	0.003171244429834347	0.14037115962983768	0.1719967704990332	72	54	54
gsva__menopause_all	180	-0.005399213541075286	0.8870119702279325	0.03836728927171748	0.31636671193197513	0.04376650281279277	0.2804723311111716	72	54	54
gsva__menopause_up	180	0.0024357467341824426	0.9539098855230956	0.06210459124017005	0.14428632227331611	0.05966884450598761	0.1849744203289457	72	54	54
gsva__menopause_down	180	-0.09769160926291418	0.1260168791544869	-0.15056781746528086	0.019648298168939	-0.05287620820236669	0.43587277765959853	72	54	54
ssgsea__menopause_all	180	0.007012734594792647	0.7089691070059196	0.023151098301490022	0.22166772659762218	0.016138363706697377	0.42047626419737616	72	54	54
ssgsea__menopause_up	180	0.013486011950931206	0.5241321327438331	0.03496877602147104	0.10182983547489247	0.021482764070539832	0.341249406786034	72	54	54
ssgsea__menopause_down	180	-0.04890240806282894	0.18706524375464126	-0.08027553097159194	0.03208089985589277	-0.031373122908763006	0.42622600389837273	72	54	54
plage__menopause_all	180	-0.004462327380012322	0.7155837124211765	-0.010676228662840261	0.38674172308673516	-0.006213901282827939	0.633958735596742	72	54	54
plage__menopause_up	180	-7.862080847054871e-4	0.9490521222154147	-0.007452707804612683	0.5474384194902489	-0.006666499719907196	0.611214064723864	72	54	54
plage__menopause_down	180	0.028166091699627034	0.02907673987239235	0.022578332131506482	0.08136491973239561	-0.005587759568120552	0.6825049300705055	72	54	54
zscore__menopause_all	180	0.008167314313569204	0.9826106831489467	0.3012907107211638	0.4247000987571302	0.2931233964075946	0.46316486248906397	72	54	54
zscore__menopause_up	180	0.12444349921976179	0.7581762952536459	0.5129807891069156	0.20820682431758009	0.3885372898871538	0.3674348174375106	72	54	54
zscore__menopause_down	180	-0.3530164010054304	0.06252460895422039	-0.5968992169398891	0.0019213381206581966	-0.2438828159344587	0.22582756072729965	72	54	54
