gene_id	gene_symbol	log2FoldChange_female	padj_female	log2FoldChange_male	padj_male	log2FoldChange_interaction	padj_interaction	chr
ENSG00000228502.1	EEF1A1P11	-1.122895328698722	4.354021425516945e-4	0.08197950935351483	0.7905222787736401	-1.204874838052237	0.0021843353853500274	NA
ENSG00000096006.12	CRISP3	2.0585013133460723	0.016300782576931922	-0.5630859682481633	0.30352651657858976	2.621587281594236	0.0033279638402819497	6
ENSG00000233024.7	NPIPA9	-0.9883102944785784	0.014474448431891829	0.233777551054317	0.40056113470860044	-1.2220878455328956	0.0052713185193614615	16
ENSG00000115607.10	IL18RAP	0.7384515843333466	0.02212792559519538	-0.17866208189740956	0.4018604460576294	0.9171136662307562	0.008839010725051352	2
ENSG00000054938.17	CHRDL2	-1.9269817607263113	0.02212792559519538	0.38269068490748104	0.5036462765046196	-2.3096724456337925	0.013088966265173028	11
ENSG00000274383.1	ENSG00000274383	-1.330854368208681	0.029696910508316323	0.25635304464101394	0.5500412881324062	-1.5872074128496951	0.021853989106879437	NA
ENSG00000234389.1	ENSG00000234389	0.9145393129941649	0.025408434348701218	-0.13479805419823107	0.6509406299402993	1.0493373671923962	0.026185026775570563	NA
ENSG00000211673.2	IGLV3-1	-2.7356488077734036	0.0021269378104589592	-0.18755121148477266	0.8222473526583818	-2.5480975962886308	0.03425720376443824	NA
ENSG00000280241.4	ENSG00000280241	0.864810716715591	0.002219592173008499	0.06325639353992762	0.8081514432413847	0.8015543231756633	0.04024310835815608	NA
