depot	marker	model	contrast	n	estimate	se	t	p	conf_low	conf_high
subcutaneous	adipocyte	base	peri_vs_pre	233	-0.39715394898835693	0.1341110620887706	-2.961380983810816	0.0033865874700394288	-0.6600116306823474	-0.13429626729436656
subcutaneous	adipocyte	base	post_vs_pre	233	-0.5151878161001332	0.13568363212017037	-3.7969783683550635	1.8782640664004492e-4	-0.7811277350556671	-0.24924789714459927
subcutaneous	adipocyte	rin_isch	peri_vs_pre	233	-0.342395819966786	0.12566543565792435	-2.724661862461739	0.006940283957470469	-0.5887000738563177	-0.09609156607725425
subcutaneous	adipocyte	rin_isch	post_vs_pre	233	-0.3726797067830164	0.128854415508398	-2.892254062948485	0.004198422927871605	-0.6252343611794764	-0.1201250523865563
subcutaneous	macrophage_mono	base	peri_vs_pre	233	0.04567368663106783	0.1495060602412521	0.30549722571356625	0.760266210198145	-0.24735819144178625	0.3387055647039219
subcutaneous	macrophage_mono	base	post_vs_pre	233	0.06938581763248848	0.15125915015185482	0.45872145627440997	0.6468711760541159	-0.227082116665147	0.3658537519301239
subcutaneous	macrophage_mono	rin_isch	peri_vs_pre	233	0.0559377677624955	0.150578352528781	0.37148611884170907	0.7106235262985896	-0.23919580319391526	0.3510713387189062
subcutaneous	macrophage_mono	rin_isch	post_vs_pre	233	0.08451228146304443	0.1543995411445507	0.5473609625816376	0.5846708841685697	-0.21811081918027495	0.3871353821063638
subcutaneous	endothelial	base	peri_vs_pre	233	-0.025007420956851566	0.13315624049399274	-0.18780509921335425	0.8511964712340824	-0.28599365232507734	0.23597881041137422
subcutaneous	endothelial	base	post_vs_pre	233	-0.04655255377959986	0.13471761440329866	-0.345556547937654	0.7299946171551468	-0.31059907801006525	0.21749397045086552
subcutaneous	endothelial	rin_isch	peri_vs_pre	233	-0.07346423376599907	0.1293987950317443	-0.5677350685373593	0.5707784418228716	-0.32708587202821793	0.18015740449621975
subcutaneous	endothelial	rin_isch	post_vs_pre	233	-0.126856322504508	0.13268251539503564	-0.9560892188908139	0.3400487456014729	-0.3869140526787779	0.13320140766976185
subcutaneous	fibroblast_ecm	base	peri_vs_pre	233	0.18681394884114708	0.13743260031494106	1.3593132081692665	0.17539029049318697	-0.08255394777613742	0.45618184545843155
subcutaneous	fibroblast_ecm	base	post_vs_pre	233	0.19325456222278534	0.13904411830030725	1.389879446791086	0.16592101656375088	-0.07927190964581685	0.4657810340913875
subcutaneous	fibroblast_ecm	rin_isch	peri_vs_pre	233	0.1764430351089609	0.13159303594860589	1.3408235005526534	0.18132387143225778	-0.08147931535030664	0.43436538556822846
subcutaneous	fibroblast_ecm	rin_isch	post_vs_pre	233	0.11079588723604182	0.1349324390064609	0.8211212074120785	0.41244254485230514	-0.15367169321662155	0.3752634676887052
subcutaneous	t_cell	base	peri_vs_pre	233	0.3763418007858504	0.13940982635341206	2.6995356828850925	0.00746395230967934	0.10309854113316275	0.649585060438538
subcutaneous	t_cell	base	post_vs_pre	233	0.25499226595283653	0.14104452905124695	1.8078848408234816	0.07194220264042236	-0.021455010987607492	0.5314395428932805
subcutaneous	t_cell	rin_isch	peri_vs_pre	233	0.3566797859951044	0.13753286715419524	2.593414893293922	0.010123402965655106	0.08711536637288175	0.6262442056173271
subcutaneous	t_cell	rin_isch	post_vs_pre	233	0.18188373063132077	0.14102300380025348	1.2897451176755734	0.19845742223483176	-0.09452135681717608	0.4582888180798176
