gene_id	gene_symbol	log2FoldChange	padj
ENSG00000224577.3	LINC01117	0.6509743691647645	6.304422608006468e-4
ENSG00000172901.21	LVRN	-0.7364216989495833	6.304422608006468e-4
ENSG00000015413.10	DPEP1	1.359703025665618	6.304422608006468e-4
ENSG00000137868.19	STRA6	1.635734880532598	7.346465293469194e-4
ENSG00000173452.14	TMEM196	2.9940190694360576	9.91597591882646e-4
ENSG00000244306.11	DUXAP10	0.8850916791503773	9.91597591882646e-4
ENSG00000147889.18	CDKN2A	0.7800732074658209	0.001046054369461791
ENSG00000280241.4	ENSG00000280241	0.7260711280314259	0.0010503923206128837
ENSG00000172551.12	MUCL1	2.4060926730043395	0.0010503923206128837
ENSG00000165474.8	GJB2	1.2445782006593344	0.0010503923206128837
ENSG00000215270.3	TOMM40P2	1.1251508731509212	0.0010503923206128837
ENSG00000234389.1	ENSG00000234389	0.9060021665158633	0.0010555640345289786
ENSG00000269933.1	ENSG00000269933	-0.9142889945825375	0.0014147829749126383
ENSG00000171951.5	SCG2	1.4442432075008662	0.0014147829749126383
ENSG00000145423.5	SFRP2	1.509124405832689	0.0014147829749126383
ENSG00000164488.12	DACT2	1.9603071808640606	0.0014147829749126383
ENSG00000148408.14	CACNA1B	1.2791427358288274	0.0014147829749126383
ENSG00000167325.15	RRM1	-0.204621142946684	0.0014147829749126383
ENSG00000184012.14	TMPRSS2	2.1377596733586697	0.0014147829749126383
ENSG00000162591.16	MEGF6	0.6141477993510154	0.0015852767680596498
ENSG00000225511.7	LINC00475	0.998076473978081	0.0015852767680596498
ENSG00000172425.12	TTC36	-1.0543274352198586	0.0015852767680596498
ENSG00000174482.10	LINGO2	1.5371492644287772	0.0017211236734684767
ENSG00000229028.3	KRT223P	1.8881986867617127	0.0017211236734684767
ENSG00000228495.2	LINC01013	1.0214795037444295	0.002169241918521653
ENSG00000267374.3	MIR924HG	-0.8970474079555767	0.002426828523976979
ENSG00000103888.17	CEMIP	1.4236137832209135	0.0024756032533157107
ENSG00000105711.14	SCN1B	0.36097025508055847	0.0024756032533157107
ENSG00000188959.10	C9orf152	1.3425003142597853	0.002899776636174648
ENSG00000169599.13	NFU1	-0.3100194039315488	0.0030107543884549354
ENSG00000287979.1	ENSG00000287979	1.7440524424124482	0.003396192847325437
ENSG00000137709.10	POU2F3	1.0543465448330527	0.0035015305267019174
ENSG00000141449.16	GREB1L	-0.9795538123927136	0.0035015305267019174
ENSG00000053438.11	NNAT	-1.012554327535281	0.0035015305267019174
ENSG00000186847.6	KRT14	1.2255875453564564	0.003689424952685161
ENSG00000005882.12	PDK2	-0.40426511147848687	0.003689424952685161
