depot	sex	age_bin_label	n	adipocyte	aspc	b_cell	dendritic_cell	endothelial	lec	macrophage	mast_cell	mesothelium	monocyte	nk_cell	pericyte	smc	t_cell	P-value
subcutaneous	Male	20-29	38	0.12115273373824777	0.1074723568201363	0	0.04637115112945209	0.1808143672104669	0	0.0829577275343859	0	0	0.03536476164397983	0.11214443725248634	0.07828659341144349	0.07620004563078692	0.15923582562861446	9999
subcutaneous	Male	30-39	44	0.0976359822772107	0.12300956635741675	0	0.07209550661398463	0.17421351769737664	0	0.07006897501706011	0	0	0.030204465178065867	0.11244990561071373	0.06076635492219314	0.09896312514371945	0.1605926011822588	9999
subcutaneous	Male	40-49	66	0.08872740508815329	0.13267494281573297	3.037643283734379e-5	0.04787564811092766	0.1700957925082674	0	0.07865820494703481	0	0	0.04276991541948036	0.11386902023700926	0.060656467278439354	0.10133878813276494	0.16330343902935252	9999
subcutaneous	Male	50-59	156	0.07364898420638163	0.1522134697512669	9.376045099351975e-5	0.06422423627842272	0.16940545545559274	0	0.06808569132575593	0	4.3343103839708006e-5	0.03321044752679149	0.11254518373369321	0.05298279667024574	0.11417747724984345	0.15936915424717296	9999
subcutaneous	Male	60-69	163	0.052025576802051436	0.14945653760115576	7.672635163934546e-5	0.07658453189216001	0.17226031394991267	0	0.05681521420445686	0	0	0.034751792954529216	0.11526504306163969	0.05731492558590018	0.12262468976200783	0.16282464783454695	9999
subcutaneous	Male	70-79	14	0.0856780578409188	0.12907926988457155	0	0.07797782930165284	0.17818758665914058	0	0.05026597231983145	0	0	0.04164176546717183	0.1171539504995175	0.06077051219345406	0.10294208099744309	0.15630297483629851	9999
subcutaneous	Female	20-29	19	0.16668888178487187	0.0930713893464674	0	0.04383915200840867	0.1703823917718978	0	0.08448411473435859	0	0	0.040446964967939	0.11069541267442583	0.07566198690332504	0.057317857509070425	0.15741184829923516	9999
subcutaneous	Female	30-39	16	0.15737587944557083	0.10429786086272765	0	0.04133163766347292	0.17546001251978988	0	0.08223117698195488	0	0	0.0412661167208948	0.11794492807464825	0.07037803481867537	0.05255116646632174	0.15716318644594368	9999
subcutaneous	Female	40-49	43	0.1059946751102893	0.12661038676933598	0	0.06025498629014728	0.17353084425135296	0	0.07143807733389686	0	3.6636391819010234e-5	0.038956988630313286	0.11009745863538516	0.0662439819454575	0.08912068970084756	0.15771527494115511	9999
subcutaneous	Female	50-59	76	0.08765976070000635	0.1362139340974475	1.3628284341088553e-5	0.06830914721713649	0.17519813133032233	0	0.06755033903066535	0	3.814223461920155e-4	0.035404681645592975	0.11338217972900204	0.06727892118262732	0.08527755030594786	0.1633303041307187	9999
subcutaneous	Female	60-69	70	0.08456656266870508	0.1376781079190353	0	0.0666907429456176	0.18148055392185256	0	0.0686807058908496	0	2.314664507389757e-5	0.03328946998830027	0.11156696269103539	0.06683006856465618	0.08872426592506746	0.16046941283980662	9999
subcutaneous	Female	70-79	9	0.048857574516243465	0.13451627807288172	0	0.06439170814507038	0.19986788060570113	0	0.06248763299799258	0	0	0.03367472508679971	0.11898158866732977	0.06055866381501893	0.10938893215432119	0.16727501593864078	9999
