Mixture,adipocyte,aspc,b_cell,dendritic_cell,endothelial,lec,macrophage,mast_cell,mesothelium,monocyte,nk_cell,pericyte,smc,t_cell,P-value,Correlation,RMSE
GTEX-111CU-1026-SM-5EGIL,0.130690912032101,0.0878944629201461,0,0,0.170430388204752,0,0.0862926996542316,0,0,0.048971058981568,0.10461538557231401,0.210969950735857,0,0.16013514189903,9999,0.59923141114811,0.80836522226306
GTEX-111FC-1426-SM-5N9C7,0.0580153468575246,0.1510894665156,0,0.0117408113377386,0.19699377494573,0,0.0738873204339717,0,0.01500054825377,0.0592351747854613,0.131343083892875,0.109515765637884,0.0466642326021913,0.146514474737253,9999,0.614114380864658,0.794544974640387
GTEX-111YS-1326-SM-5EGGK,0.172171818993867,0.0796299081798652,0,0.0243864464885311,0.165163425317798,0,0.0872663452108566,0,0,0.0403301481852439,0.0902017678565754,0.15754809062151,0.00205459184729237,0.181247457298461,9999,0.583474546117733,0.820826689834065
GTEX-1122O-0926-SM-9YFLC,0.254814322263303,0.0391406375727634,0,0.0165282224504053,0.158464988611262,0,0.0888130074641767,0,0,0.0612298208522982,0.0899189525999313,0.118263330429209,0.0213451244262163,0.151481593330435,9999,0.530133552759668,0.864928083323504
GTEX-1128S-0926-SM-5GZZU,0,0.134448829976864,0,0,0.203305539118436,0,0.144548442246156,0,0,0.0649949484472823,0.0893968622813545,0.116662678848226,0.035792577975679,0.210850121106003,9999,0.528322489497703,0.873759079266438
GTEX-113JC-0726-SM-5GZZR,0,0.166755023909899,0,0,0.220614600203852,0,0.0650412216435421,0,0.0336417556054171,0.053880622841467,0.109629090585501,0.108750150851902,0.0641587893294998,0.177528745028921,9999,0.62331437302911,0.787708859488755
GTEX-117YW-0826-SM-5H11O,0.0109796986095317,0.118592110754975,0,0.0913403672564219,0.195665741996374,0,0.062899232377306,0,0.0333575203464712,0.0367004196530555,0.134667415064925,0.15394058645714,0,0.1618569074838,9999,0.611828738569509,0.799647277951823
GTEX-117YX-0726-SM-5GIET,0.0243989243437533,0.189658628218607,0,0.0281818468371903,0.14694020690067,0,0.173510226101269,0,0.0446470181083746,0.0460195303739056,0.0933518702630575,0.0290706439824051,0.040369680928131,0.183851423942637,9999,0.591010651424336,0.815085387413929
GTEX-1192X-1526-SM-5H11I,0,0.155421907084371,0,0.069278438373779,0.209079281995944,0,0.0400285048264051,0,0,0.0243916062594908,0.120996828464783,0.0789460655364622,0.10427111481888,0.197586252639885,9999,0.506025928232994,0.88922690690767
GTEX-11DXX-2026-SM-5EGJL,0.0453533396963597,0.115712694626875,0,0.0131757939104165,0.183255877699621,0,0.0843781950161839,0,0,0.0334436221748107,0.129515825501785,0.018033524975847,0.209501881091076,0.167629245307025,9999,0.632281840052017,0.776675029403277
GTEX-11DXY-0326-SM-5H12F,0.0264132101926171,0.151755570157074,0,0,0.173464176619583,0,0.0963080252886134,0,0.0684886813822351,0.0598358291278914,0.136678870150789,0.0795219269174403,0.0542810807021781,0.153252629461579,9999,0.598773060877773,0.80767101558485
GTEX-11DXZ-1426-SM-5H12A,0,0.156895385180078,0,0.00468033549516895,0.16652018333341,0,0.123837736301029,0,0,0.00775900628694783,0.13235545748232,0.0725144725003358,0.190810602798687,0.144626820622023,9999,0.579725115455372,0.822636064510289
GTEX-11DYG-2026-SM-5EGGX,0,0.234349856305277,0,0.11482866443485,0.190946415923153,0,0.00944966964655488,0,0.0711484844066696,0,0.0908864553297061,0.058531676656293,0.0467097526336449,0.183149024663852,9999,0.512621526253744,0.881104861343338
GTEX-11EM3-1126-SM-5A5KM,0,0.120565687680723,0,0.0344227286800942,0.158750726378684,0,0.0611251438984105,0,0.0248131034326639,0.137400624460596,0.092540967058975,0.112283926965435,0.037855919522052,0.220241171922366,9999,0.657683673824327,0.759477014908798
GTEX-11EQ9-1126-SM-5987I,0.202917090846498,0.0662288501642631,0,0.036300820394001,0.138833609795228,0,0.0939767737133122,0,0,0.0128177404675848,0.105216616354025,0.183082950182936,0,0.160625548082152,9999,0.572831255943455,0.829171066740158
GTEX-11GS4-1026-SM-5N9DE,0.0576533730999337,0.14559874919064,0,0.0309743307860977,0.23193530586386,0,0.0530436959060782,0,0,0.0421162797704577,0.11200472901813,0.116176972163856,0.00969661886011055,0.200799945340837,9999,0.592936760338215,0.815815768014499
GTEX-11GSO-0226-SM-5A5LV,0.0739215197235601,0.126470473755373,0,0.0942957966497278,0.197441404773578,0,0.0472991478989599,0,0.0185363222050165,0.0115257136075503,0.110834303091387,0.0862736935280418,0.0456139949665472,0.187787629800258,9999,0.583147703222259,0.820961739737327
GTEX-11GSP-1026-SM-9WYSH,0,0.148547200638047,0,0,0.220002338196436,0,0.00728451692846626,0,0,0.0893034761449713,0.14263986859451,0.165897243741822,0.0568150922474828,0.169510263508264,9999,0.613279072306821,0.800930573726876
GTEX-11I78-0226-SM-5HL6R,0.177412436224531,0.084352417200928,0,0,0.149001699983236,0,0.118890735996443,0,0,0.0659969690677133,0.115841857994516,0.128943440164879,0.0191146368343817,0.140445806533372,9999,0.58428997167504,0.819464862147401
GTEX-11LCK-0326-SM-5A5M7,0.103807504100623,0.123142983368425,0,0.00264687741893334,0.183710820947816,0,0.0926902516264077,0,0,0.061410829125001,0.117650497277848,0.128226789935032,0.0237570663288998,0.162956379871014,9999,0.60590446933795,0.801811520172687
GTEX-11NUK-2026-SM-5PNVZ,0,0.140476653195332,0,0.0789025087136787,0.184815115819851,0,0.0137142838114848,0,0.0716622830550418,0.0426414881250155,0.120121163635848,0.0950978311672456,0.0910943468907585,0.161474325585744,9999,0.594002287153837,0.81281671899693
GTEX-11NV4-1426-SM-5BC4W,0,0.139135701014331,0,0,0.246931705756267,0,0.0483663870081397,0,0.0641643853831978,0.090681937274222,0.134671479828742,0.0844913873482935,0.0388937912449454,0.152663225141861,9999,0.576758904091507,0.830983338368593
GTEX-11O72-1426-SM-GI4XK,0,0.157105183276695,0,0.0532712553181404,0.187238892367075,0,0.0366365757322907,0,0.00103399007628755,0.052300301963943,0.108843218954927,0.146990055581643,0.0560081460778578,0.20057238065114,9999,0.545007761827516,0.859717083219755
GTEX-11OF3-0826-SM-5BC51,0.119501473822077,0.150050341427205,0,0.0368280367389875,0.191657070094953,0,0.0526177047270176,0,0,0.046312986594472,0.120523792407452,0.0765710622958265,0.0404079334217315,0.165529598470278,9999,0.571416825668193,0.830562119737047
GTEX-11P7K-0826-SM-5BC5F,0.0261963176657859,0.145238376025926,0,0,0.211322365664118,0,0.123708988024503,0,0,0.046546182136281,0.113953775409882,0.133091013002462,0.0442647363732513,0.155678245697791,9999,0.625039322754212,0.785571074471002
GTEX-11P81-0726-SM-5PNYH,0.135895129688697,0.102280833175456,0.00200643012277971,0,0.17553776929093,0,0.138208394903767,0,0,0.0392636953704961,0.1108631917368,0.120244819361052,0,0.175699736350023,9999,0.605424537140302,0.80171918805337
GTEX-11P82-0326-SM-5HL51,0.105765907527322,0.119591204881622,0,0,0.173840062188133,0,0.11030273121884,0,0,0.0365782237558323,0.115243977234057,0.134161271927794,0.0492831052415466,0.155233516024853,9999,0.587350431262255,0.816433957263751
GTEX-11PRG-1526-SM-5HL6Z,0,0.166749301332024,0,0.069004461663241,0.194880324053486,0,0.089569079846764,0,0.0224706457020657,0.0298161161157122,0.109330473566832,0.126067331568745,0.026718127723098,0.165394138428032,9999,0.602109626780424,0.807034977073938
GTEX-11TT1-1926-SM-5PNYN,0.146201505054898,0.0820085168746523,0,0,0.131798289990186,0,0.107589653570924,0,0,0.0555674399495754,0.136217702446762,0.151347543485399,0.0271625786131322,0.162106770014472,9999,0.584991674158552,0.819640773243413
GTEX-11VI4-1226-SM-5EQMP,0.00163090954954568,0.104248169657954,0,0,0.244851791308018,0,0.0579118849303417,0,0,0.0680089629679074,0.12583291429294,0.124779755200739,0.111644929484552,0.161090682608002,9999,0.637607360781097,0.775398364821001
