depot	sex	age_bin_label	n	adipocyte	aspc	b_cell	dendritic_cell	endothelial	lec	macrophage	mast_cell	mesothelium	monocyte	nk_cell	pericyte	smc	t_cell	P-value
visceral	Male	20-29	35	2.395030214861043e-4	0.24639733555922555	0	0.0037763656472876686	0.2020705123913838	0	0.11770756575141018	0	0	0.1955373353648885	0.019383388925566	0.1731296672013537	0.0034783962731478	0.03827992986425069	9999
visceral	Male	30-39	34	0	0.2483909175680529	0.0014585097862237883	0.008893529417599976	0.2230890616242367	0	0.10764908029851847	0	0	0.17480101184580374	0.024603460486366524	0.16123758673080935	0.007785363913617701	0.042091478328770825	9999
visceral	Male	40-49	54	3.911880267083326e-4	0.2460257298112883	2.4900355093359077e-4	0.009856061253451814	0.19420540905093894	0	0.12299146255865336	0	2.4605756196401405e-4	0.15638110010688613	0.04000683934861108	0.16427301202949227	0.0031669037667242804	0.06220723293434789	9999
visceral	Male	50-59	142	1.614406492144634e-5	0.26036665576884915	0.0013755518826213202	0.016014524175406487	0.20110820644069577	0	0.11110404893752221	0	2.447632131524229e-4	0.147879352810709	0.04490403000295974	0.15106747427969847	0.00797851806496011	0.057940730358503806	9999
visceral	Male	60-69	125	1.992781393823176e-5	0.27087909295527957	0.00325577847060869	0.013705213637590852	0.2191595385244139	4.4966793453546003e-4	0.10545853445436246	0	4.8116258222031047e-4	0.13755657576130093	0.04196802213332074	0.1371686127565817	0.005319447965584571	0.06457842501026269	9999
visceral	Male	70-79	17	0	0.26679205971812064	0.0016531713932821282	0.012430520316361418	0.20039079011246952	4.3557923730232293e-4	0.12548141754781394	0	0	0.1512251331949218	0.04371392802984873	0.13849101964489446	0	0.05938638080498503	9999
visceral	Female	20-29	18	0.0024495676966356113	0.3119876892378975	0	0.0020227551049300362	0.16995692894939501	4.643331564635578e-4	0.12121425704702858	0	0	0.20228556995722882	0.019151347737259468	0.129852522692905	0.0013699306026347887	0.03924509781762159	9999
visceral	Female	30-39	18	0	0.24613305888631923	6.629885180983056e-4	0.0038353551030750723	0.20066303097518948	0	0.12599372675350093	0	0	0.17508450898455558	0.03152647597896407	0.17137352759767063	0.0017226794415968307	0.04300464776102982	9999
visceral	Female	40-49	36	5.975028756880278e-4	0.26752229560675056	0.0010970636266875839	0.010085903366374625	0.2199887351971406	0	0.1081724223219568	0	0.0013898686160681406	0.15344937882268075	0.029294958271538475	0.15190132113809898	0.006274901155079056	0.050225649001936316	9999
visceral	Female	50-59	54	3.2600313082944185e-4	0.24556185714344572	0.0029918824414793357	0.009435642999609658	0.20299512204799405	1.0637846199121186e-4	0.11867734691587592	0	9.557116314272407e-5	0.1668526816833665	0.04008738704745532	0.15333899469995516	0.0018434563282843128	0.05768767593657069	9999
visceral	Female	60-69	50	0	0.2730330656762821	0.001171134689054664	0.01726788241259411	0.203918410967637	3.08405227757364e-5	0.10633983620719648	0	0.0018628753723305678	0.15151164775907083	0.040128065555382154	0.1359907920461068	0.00576045633105743	0.06298499246051208	9999
visceral	Female	70-79	4	0	0.2312886403253105	0.00984608824596635	0.027718358655294047	0.18321170224991826	0	0.1070333218987663	0	0	0.13871780655133673	0.0772761621547083	0.1002981690715919	0.022222801078190177	0.10238694976891727	9999
