gene_symbol	log2FoldChange	padj	significant	in_general	in_gse86244_age_proxy
LINC01117	0.6509743691647645	6.304422608006468e-4	TRUE	FALSE	FALSE
LVRN	-0.7364216989495833	6.304422608006468e-4	TRUE	FALSE	FALSE
DPEP1	1.359703025665618	6.304422608006468e-4	TRUE	FALSE	FALSE
STRA6	1.635734880532598	7.346465293469194e-4	TRUE	FALSE	FALSE
TMEM196	2.9940190694360576	9.91597591882646e-4	TRUE	FALSE	FALSE
DUXAP10	0.8850916791503773	9.91597591882646e-4	TRUE	FALSE	FALSE
CDKN2A	0.7800732074658209	0.00104605436946179	TRUE	FALSE	FALSE
ENSG00000280241	0.7260711280314259	0.00105039232061288	TRUE	FALSE	FALSE
MUCL1	2.4060926730043395	0.00105039232061288	TRUE	FALSE	FALSE
GJB2	1.2445782006593344	0.00105039232061288	TRUE	FALSE	FALSE
TOMM40P2	1.1251508731509212	0.00105039232061288	TRUE	FALSE	FALSE
ENSG00000234389	0.9060021665158632	0.00105556403452897	TRUE	FALSE	FALSE
ENSG00000269933	-0.9142889945825377	0.00141478297491263	TRUE	FALSE	FALSE
SCG2	1.4442432075008662	0.00141478297491263	TRUE	FALSE	FALSE
SFRP2	1.509124405832689	0.00141478297491263	TRUE	FALSE	FALSE
DACT2	1.9603071808640609	0.00141478297491263	TRUE	FALSE	FALSE
CACNA1B	1.2791427358288274	0.00141478297491263	TRUE	FALSE	FALSE
RRM1	-0.204621142946684	0.00141478297491263	TRUE	FALSE	FALSE
TMPRSS2	2.1377596733586697	0.00141478297491263	TRUE	FALSE	FALSE
MEGF6	0.6141477993510154	0.00158527676805964	TRUE	FALSE	FALSE
LINC00475	0.998076473978081	0.00158527676805964	TRUE	FALSE	FALSE
TTC36	-1.0543274352198586	0.00158527676805964	TRUE	FALSE	FALSE
LINGO2	1.5371492644287772	0.00172112367346847	TRUE	FALSE	FALSE
KRT223P	1.8881986867617129	0.00172112367346847	TRUE	FALSE	FALSE
LINC01013	1.0214795037444295	0.00216924191852165	TRUE	FALSE	FALSE
MIR924HG	-0.8970474079555767	0.00242682852397697	TRUE	FALSE	FALSE
CEMIP	1.4236137832209137	0.00247560325331571	TRUE	FALSE	FALSE
SCN1B	0.36097025508055847	0.00247560325331571	TRUE	FALSE	FALSE
C9orf152	1.342500314259785	0.00289977663617464	TRUE	FALSE	FALSE
NFU1	-0.3100194039315488	0.00301075438845493	TRUE	FALSE	FALSE
ENSG00000287979	1.7440524424124482	0.00339619284732543	TRUE	FALSE	FALSE
POU2F3	1.054346544833053	0.00350153052670191	TRUE	FALSE	FALSE
GREB1L	-0.9795538123927136	0.00350153052670191	TRUE	FALSE	FALSE
NNAT	-1.012554327535281	0.00350153052670191	TRUE	FALSE	FALSE
KRT14	1.2255875453564564	0.00368942495268516	TRUE	FALSE	FALSE
PDK2	-0.40426511147848687	0.00368942495268516	TRUE	FALSE	FALSE
LINC01152	2.422956860899916	0.00380109723196249	TRUE	FALSE	FALSE
PPP1R13L	0.3872044099174767	0.00404628209198866	TRUE	FALSE	FALSE
SERPINB7	1.612654341467176	0.00448523817146399	TRUE	FALSE	FALSE
DRAM2	-0.2820548267932097	0.00467651769588611	TRUE	FALSE	FALSE
PALD1	0.4045658320442046	0.00480854111305916	TRUE	FALSE	FALSE
WNT10B	0.9102826764180184	0.00480854111305916	TRUE	FALSE	FALSE
FOLH1	1.0917532640634	0.00485787742990267	TRUE	FALSE	FALSE
LMO3	0.5618361589923905	0.00495877560709152	TRUE	FALSE	FALSE
GRIA1	0.9854147758458528	0.00499368815968041	TRUE	FALSE	FALSE
TACSTD2	0.8861588738403556	0.00523858626702984	TRUE	FALSE	FALSE
TRABD2A	-0.5848737775436995	0.00541142116883827	TRUE	FALSE	FALSE
