depot	sex	gene_set	n	peri_vs_pre_p	post_vs_pre_p	post_vs_peri_p
subcutaneous	Female	lipolysis_core	233	0.0023142251039318757	4.165922512653225e-4	0.5885710517069757
subcutaneous	Male	lipolysis_core	481	1.7781134628359613e-6	8.345331156429565e-10	0.18616661975190832
subcutaneous	Female	thermogenesis_program	233	0.008308712073418843	0.00821757856889974	0.9720937396625586
subcutaneous	Male	thermogenesis_program	481	0.019960762275385773	5.576243733506774e-6	0.025262620558574433
visceral	Female	lipolysis_core	180	0.9381264689303432	0.22253186470769185	0.2801852725519808
visceral	Male	lipolysis_core	407	0.09093032577771205	7.439641498312519e-5	0.01519676442158166
visceral	Female	thermogenesis_program	180	0.03583340479142179	0.01927626804620773	0.8062643575643578
visceral	Male	thermogenesis_program	407	0.09507370316149388	2.1485993263382393e-4	0.02992231534298703
