gene_symbol	direction	log2FoldChange	padj	estimate	se	p	padj_within_model
POU2F3	up_in_post	1.054346544833053	0.00350153052670191	0.3245419335810199	0.10967800558437397	0.0035943596166258785	0.1653405423647904
LINGO2	up_in_post	1.5371492644287772	0.00172112367346847	0.25258955344830103	0.08797584615675254	0.004690585727571832	0.21107635774073247
SEL1L2	down_in_post	-1.11941584072417	0.02354160350500537	-0.459495670619266	0.16194539090831478	0.005187452472952999	0.22824790880993195
ROS1	up_in_post	1.2924038718762714	0.0424398235945129	0.25080465046567224	0.09161699261611696	0.0069494971963459376	0.2988283794428753
XDH	up_in_post	1.22421374885124	0.02879096622395388	0.3069189149834656	0.1145129315416172	0.00819169311545318	0.34405111084903356
COL11A1	up_in_post	1.236640904480705	0.0135256410356419	0.586203344737899	0.2277302835168825	0.011031535304222899	0.45229294747313886
TMEM196	up_in_post	2.9940190694360576	9.91597591882646e-4	0.289985150779419	0.12090981725230536	0.017714267399823427	0.7085706959929371
PI15	down_in_post	-1.2607582815988234	0.02879096622395388	-0.5960953832887635	0.25315716772745833	0.01985354773821035	0.7685058039579385
SERPINB7	up_in_post	1.612654341467176	0.00448523817146399	0.28993657133591477	0.12298280071368009	0.019705277024562526	0.7685058039579385
MUCL1	up_in_post	2.4060926730043395	0.00105039232061288	0.39222139687095736	0.2966020434262664	0.1880806916583049	1
TNS4	up_in_post	1.4028952730021091	0.01434147258655805	0.35586292413733056	0.2454200424967331	0.14917001071172756	1
NNAT	down_in_post	-1.012554327535281	0.00350153052670191	-0.34759697188902244	0.1682705294392454	0.04060035394691031	1
DACT2	up_in_post	1.9603071808640609	0.00141478297491263	0.33964265352980855	0.19200670625200494	0.07896868549162722	1
BARX2	up_in_post	1.717743507512352	0.0424398235945129	0.325386132381462	0.18890291551729185	0.08706705572119477	1
GJB2	up_in_post	1.2445782006593344	0.00105039232061288	0.2925607267762903	0.2058666547094552	0.1573861611066513	1
