gene_symbol	direction	log2FoldChange	padj	model	n	estimate	se	t	p	padj_within_model	conf_low	conf_high
STRA6	up_in_post	1.635734880532598	7.346465293469194e-4	base	157	0.40275008244152755	0.12205180334934633	3.2998290184106858	0.0012036523418661963	0.04814609367464785	0.16352854787680873	0.6419716170062464
STRA6	up_in_post	1.635734880532598	7.346465293469194e-4	adj_comp	157	0.2827770008364054	0.11771496914513346	2.4022178563183685	0.017518872313037535	0.6657171478954264	0.05205566131194381	0.513498340360867
STRA6	up_in_post	1.635734880532598	7.346465293469194e-4	adj_comp_tech	157	0.24838602613967042	0.1166501246236318	2.1293249959319	0.0348821076937445	1	0.019751781877352076	0.4770202704019888
TMEM196	up_in_post	2.9940190694360576	9.91597591882646e-4	base	157	0.41641445029936064	0.12066997527423749	3.450853862802301	7.224800416472496e-4	0.031789121832478985	0.17990129876185515	0.6529276018368662
TMEM196	up_in_post	2.9940190694360576	9.91597591882646e-4	adj_comp	157	0.2964413812934074	0.11904655409860784	2.490129878499978	0.013860243103394579	0.5544097241357832	0.06311013526013604	0.5297726273266787
TMEM196	up_in_post	2.9940190694360576	9.91597591882646e-4	adj_comp_tech	157	0.289985150779419	0.12090981725230536	2.398359019717151	0.017714267399823427	0.7085706959929371	0.05300190896490051	0.5269683925939375
MUCL1	up_in_post	2.4060926730043395	0.00105039232061288	base	157	0.4830927351455981	0.2805369599170762	1.7220288381552122	0.08708519115164376	1	-0.06675970629187128	1.0329451765830675
MUCL1	up_in_post	2.4060926730043395	0.00105039232061288	adj_comp	157	0.4151197524084949	0.2924634130991774	1.4193903709511981	0.15786000604124686	1	-0.15810853726589275	0.9883480420828825
MUCL1	up_in_post	2.4060926730043395	0.00105039232061288	adj_comp_tech	157	0.39222139687095736	0.2966020434262664	1.322382652324718	0.1880806916583049	1	-0.18911860824452476	0.9735614019864395
GJB2	up_in_post	1.2445782006593344	0.00105039232061288	base	157	0.4715286226342575	0.19929915872802623	2.36593383355787	0.019237532200949158	0.5333770691588724	0.0809022715273261	0.8621549737411889
GJB2	up_in_post	1.2445782006593344	0.00105039232061288	adj_comp	157	0.29678790604026734	0.2029365442742693	1.4624665414581894	0.14570545213780842	1	-0.10096772073730048	0.6945435328178351
GJB2	up_in_post	1.2445782006593344	0.00105039232061288	adj_comp_tech	157	0.2925607267762903	0.2058666547094552	1.4211176025043426	0.1573861611066513	1	-0.11093791645424189	0.6960593700068225
SCG2	up_in_post	1.4442432075008662	0.00141478297491263	base	157	0.4260699359378977	0.21153283791122462	2.0142023344702125	0.04574067180650917	0.7775914207106559	0.01146557363189743	0.8406742982438979
SCG2	up_in_post	1.4442432075008662	0.00141478297491263	adj_comp	157	0.09379631961501375	0.19416554107215525	0.48307397438847005	0.6297475406721129	1	-0.28676814088641056	0.474360780116438
SCG2	up_in_post	1.4442432075008662	0.00141478297491263	adj_comp_tech	157	0.10340979791307846	0.19736304112144046	0.523957258286514	0.6010920303240628	1	-0.28342176268494484	0.4902413585111018
DACT2	up_in_post	1.9603071808640609	0.00141478297491263	base	157	0.5185910369329249	0.23909448509288078	2.168979500850755	0.031628610947549936	0.7590866627411985	0.04996584615087851	0.9872162277149712
DACT2	up_in_post	1.9603071808640609	0.00141478297491263	adj_comp	157	0.354164027262703	0.1892470173597376	1.8714378287372238	0.06323187637761575	1	-0.016760126762382643	0.7250881812877887
DACT2	up_in_post	1.9603071808640609	0.00141478297491263	adj_comp_tech	157	0.33964265352980855	0.19200670625200494	1.7689103685994925	0.07896868549162722	1	-0.036690490724121116	0.7159757977837382
CACNA1B	up_in_post	1.2791427358288274	0.00141478297491263	base	157	0.45189007542118725	0.14291289334699997	3.161996547952987	0.0018897282661158178	0.06991994584628526	0.1717808044610673	0.7319993463813073
CACNA1B	up_in_post	1.2791427358288274	0.00141478297491263	adj_comp	157	0.23306064490255365	0.12107709277925298	1.9248946233576025	0.05613518170865789	1	-0.004250456944782183	0.47037174674988946
CACNA1B	up_in_post	1.2791427358288274	0.00141478297491263	adj_comp_tech	157	0.25134408878392245	0.12263346992086052	2.0495553860306095	0.042173426228697054	1	0.010982487739035818	0.4917056898288091
TMPRSS2	up_in_post	2.1377596733586697	0.00141478297491263	base	157	0.2654846821342716	0.19071323983355068	1.3920621471586316	0.16592374362464637	1	-0.1083132679394877	0.6392826322080309
TMPRSS2	up_in_post	2.1377596733586697	0.00141478297491263	adj_comp	157	0.28156518072654574	0.199559072483705	1.4109365072817572	0.16033396337260494	1	-0.10957060134151603	0.6727009627946074
TMPRSS2	up_in_post	2.1377596733586697	0.00141478297491263	adj_comp_tech	157	0.281202457604152	0.2017254970597178	1.3939856969141897	0.16541132609066378	1	-0.11417951663289483	0.6765844318411989
TTC36	down_in_post	-1.0543274352198586	0.00158527676805964	base	157	-0.4391748434551247	0.13372889428869167	-3.284068456492592	0.0012682733421235264	0.04946266034281753	-0.7012834762609603	-0.177066210649289
TTC36	down_in_post	-1.0543274352198586	0.00158527676805964	adj_comp	157	-0.18939685210234666	0.11410465839829889	-1.6598520582852054	0.09903340605207894	1	-0.4130419825630125	0.03424827835831917
TTC36	down_in_post	-1.0543274352198586	0.00158527676805964	adj_comp_tech	157	-0.1673401571518704	0.11447069009075515	-1.4618602982055846	0.14589956964525277	1	-0.3917027097297505	0.0570223954260097
