gs_name	gs_collection	gs_subcollection	gs_collection_name	n_genes
GOBP_RESPONSE_TO_ESTROGEN	C5	GO:BP	GO Biological Process	65
LI_ESTROGENE_META_E2_RESPONSE_UP	C2	CGP	Chemical and Genetic Perturbations	65
LI_ESTROGENE_T47D_E2_RESPONSE_UP	C2	CGP	Chemical and Genetic Perturbations	61
GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	C5	GO:BP	GO Biological Process	58
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_2	C2	CGP	Chemical and Genetic Perturbations	57
LI_ESTROGENE_LATE_E2_RESPONSE_UP	C2	CGP	Chemical and Genetic Perturbations	56
DOANE_BREAST_CANCER_ESR1_DN	C2	CGP	Chemical and Genetic Perturbations	55
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP	C2	CGP	Chemical and Genetic Perturbations	53
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_8	C2	CGP	Chemical and Genetic Perturbations	53
LI_ESTROGENE_MCF7_E2_RESPONSE_UP	C2	CGP	Chemical and Genetic Perturbations	51
YANG_BREAST_CANCER_ESR1_LASER_DN	C2	CGP	Chemical and Genetic Perturbations	47
STOSSI_RESPONSE_TO_ESTRADIOL	C2	CGP	Chemical and Genetic Perturbations	46
LI_ESTROGENE_MID_E2_RESPONSE_DN	C2	CGP	Chemical and Genetic Perturbations	45
STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_DN	C2	CGP	Chemical and Genetic Perturbations	45
GOBP_ESTROGEN_METABOLIC_PROCESS	C5	GO:BP	GO Biological Process	39
GOMF_NUCLEAR_ESTROGEN_RECEPTOR_BINDING	C5	GO:MF	GO Molecular Function	39
GOBP_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	C5	GO:BP	GO Biological Process	38
LI_ESTROGENE_MCF7_E2_RESPONSE_DN	C2	CGP	Chemical and Genetic Perturbations	38
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3	C2	CGP	Chemical and Genetic Perturbations	37
FRASOR_RESPONSE_TO_ESTRADIOL_UP	C2	CGP	Chemical and Genetic Perturbations	36
