depot	module	model	contrast	n	estimate	se	t	p	conf_low	conf_high
subcutaneous	camp_pka_feedback	base	peri_vs_pre	233	0.12608981010495576	0.08217322218528995	1.5344391609792252	0.12630810551372473	-0.034969705378212534	0.28714932558812406
subcutaneous	camp_pka_feedback	base	post_vs_pre	233	0.11830251007065366	0.08313677541184336	1.422986512101367	0.15610688504494236	-0.044645569736559323	0.28125058987786666
subcutaneous	camp_pka_feedback	adj_comp	peri_vs_pre	233	0.0498116689629528	0.07690475389904082	0.6477059796374183	0.5178354834468768	-0.1009216486791672	0.2005449866050728
subcutaneous	camp_pka_feedback	adj_comp	post_vs_pre	233	0.015943158695401027	0.07881873052197111	0.20227626846840413	0.8398835293229987	-0.13854155312766234	0.1704278705184644
subcutaneous	camp_pka_feedback	adj_comp_tech	peri_vs_pre	233	0.04062217616778204	0.07242794468460989	0.5608633013772899	0.5754538317238035	-0.10133659541405335	0.18258094774961744
subcutaneous	camp_pka_feedback	adj_comp_tech	post_vs_pre	233	-0.02452201936141145	0.07452465302228664	-0.3290457367722078	0.7424299345399669	-0.17059033928509326	0.12154630056227038
subcutaneous	receptor_desensitization	base	peri_vs_pre	233	-0.0559306576811793	0.09932022889844293	-0.5631346031065797	0.5738965893724364	-0.25059830632212743	0.13873699095976882
subcutaneous	receptor_desensitization	base	post_vs_pre	233	-0.1361711299188435	0.10048484584386738	-1.3551409545915531	0.1767137031282991	-0.3331214277728236	0.060779167935136574
subcutaneous	receptor_desensitization	adj_comp	peri_vs_pre	233	-0.058022537996840706	0.06661186043496484	-0.8710541578926452	0.3846530148792827	-0.1885817844493718	0.07253670845569038
subcutaneous	receptor_desensitization	adj_comp	post_vs_pre	233	-0.14531574985368517	0.0682696713922665	-2.128554992138813	0.034378266213310686	-0.2791243057825275	-0.01150719392484284
subcutaneous	receptor_desensitization	adj_comp_tech	peri_vs_pre	233	-0.05233423033586978	0.06654443579214382	-0.7864553919930946	0.43243567667602545	-0.18276132448847168	0.07809286381673211
subcutaneous	receptor_desensitization	adj_comp_tech	post_vs_pre	233	-0.14918401691055058	0.06847082309968026	-2.178796897086625	0.030394638110176696	-0.2833868301859239	-0.01498120363517727
subcutaneous	alpha2_antilipolytic_axis	base	peri_vs_pre	233	-0.0642691705975115	0.07424664728880825	-0.8656171415729268	0.3876100629452274	-0.2097925992835757	0.08125425808855269
subcutaneous	alpha2_antilipolytic_axis	base	post_vs_pre	233	-0.13225911435856497	0.07511725446050453	-1.760702188977164	0.07962946901105289	-0.27948893310115386	0.014970704384023925
subcutaneous	alpha2_antilipolytic_axis	adj_comp	peri_vs_pre	233	0.014488632333320815	0.07016109028357748	0.2065052335241739	0.836583024471724	-0.12302710462249103	0.15200436928913266
subcutaneous	alpha2_antilipolytic_axis	adj_comp	post_vs_pre	233	-0.03070168957003549	0.07190723313995223	-0.4269624657964678	0.6698149356466896	-0.17163986652434188	0.11023648738427089
subcutaneous	alpha2_antilipolytic_axis	adj_comp_tech	peri_vs_pre	233	0.01939857587273352	0.07026906079617548	0.2760614081494785	0.7827565652761711	-0.11832878328777041	0.15712593503323746
subcutaneous	alpha2_antilipolytic_axis	adj_comp_tech	post_vs_pre	233	-0.026507281566213202	0.07230327184956965	-0.36661247669901914	0.7142557103201317	-0.16822169439136972	0.1152071312589433
subcutaneous	camp_core	base	peri_vs_pre	233	-0.26943490552843785	0.08025505775903023	-3.3572327159420836	9.22359034798994e-4	-0.4267348187361371	-0.11213499232073859
subcutaneous	camp_core	base	post_vs_pre	233	-0.34566110411283485	0.08119611882240896	-4.2571136296410925	3.026959359019013e-5	-0.5048054970047564	-0.1865167112209133
subcutaneous	camp_core	adj_comp	peri_vs_pre	233	-0.13358802974770329	0.06759020494175969	-1.976440667147138	0.049326372935442446	-0.2660648314335523	-0.0011112280618542913
subcutaneous	camp_core	adj_comp	post_vs_pre	233	-0.1694541080098886	0.06927236456959525	-2.4462007188977166	0.015204380791647584	-0.30522794256629526	-0.03368027345348193
subcutaneous	camp_core	adj_comp_tech	peri_vs_pre	233	-0.12115354167105763	0.06612802109337335	-1.8321059615558095	0.06826935034006068	-0.2507644630140694	0.008457379671954118
subcutaneous	camp_core	adj_comp_tech	post_vs_pre	233	-0.16950766462180086	0.06804235365912958	-2.491208130027071	0.013459791448162702	-0.3028706777936948	-0.03614465144990689
subcutaneous	immediate_early	base	peri_vs_pre	233	0.08760219005840839	0.11936863717525617	0.7338794521863518	0.4637761979760907	-0.1463603388050937	0.32156471892191046
subcutaneous	immediate_early	base	post_vs_pre	233	0.20249260763210356	0.12076833932202305	1.6767027580976055	0.094971130019464	-0.03421333743906163	0.43919855270326874
subcutaneous	immediate_early	adj_comp	peri_vs_pre	233	-0.06126680383938289	0.11064063807019107	-0.5537459373699098	0.5803026046247215	-0.2781224544569574	0.15558884677819163
subcutaneous	immediate_early	adj_comp	post_vs_pre	233	0.0033815910715821007	0.11339422070424302	0.029821546905834218	0.976235809371965	-0.21887108150873422	0.2256342636518984
subcutaneous	immediate_early	adj_comp_tech	peri_vs_pre	233	-0.08017619062974347	0.10294380913348855	-0.7788345050043561	0.43690287395534755	-0.28194605653138105	0.12159367527189409
subcutaneous	immediate_early	adj_comp_tech	post_vs_pre	233	-0.05513705191663924	0.10592391776230975	-0.5205344843868522	0.6032075271265916	-0.26274793073076635	0.15247382689748784
