gene_set	n	est_50_59_vs_40_49	p_50_59_vs_40_49	mean_40_49	mean_50_59
acute_beta_adrenergic	90	-0.053007519890311286	0.7494778942905111	-0.02489749401135193	-0.09851438199820525
adrenergic_receptors	90	0.0494993412888588	0.6510788162647043	-0.002886439286631957	0.017357424255531932
lipolysis_core	90	0.1625634351761885	0.33693350143783174	-0.08467621866615438	0.02985788561123833
myers2009_context	90	-0.035655192489335755	0.6132331391449808	0.016726523449596225	-0.038394077881293044
thermogenesis_program	90	-0.08216585245043587	0.45776542895106587	0.028683440388618378	-0.07012215662937156
