gene_set	n	est_50_59_vs_40_49	p_50_59_vs_40_49	mean_40_49	mean_50_59
acute_beta_adrenergic	119	-0.02801047932493118	0.8538149407400213	-0.0792968635417007	-0.05507340920592313
adrenergic_receptors	119	0.018304603984978414	0.8322491374705524	-0.004800498714592194	0.008726505967247701
lipolysis_core	119	-0.16976042285785164	0.24622420193831124	0.09112740565549746	-0.09738210220696164
myers2009_context	119	-0.09555225471408088	0.11450258068042078	0.06722624015988934	-0.04560945541329596
thermogenesis_program	119	-0.10831847580394684	0.14056045026348007	0.05875117280793361	-0.05431259137222561
