model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
3group	post_vs_peri	ENSG00000170323.9	FABP4	190072.82304252734	-0.39313369023856265	0.17128484667028787	-2.295204146081406	0.021721427702355203	0.874717419389744
3group	post_vs_peri	ENSG00000211448.14	DIO2	115.10482949674879	-0.5212171431969437	0.26764982100522866	-1.9473846133704735	0.0514886413374003	0.9632010061633047
3group	post_vs_peri	ENSG00000043591.6	ADRB1	528.5025529550481	-0.38122366765207905	0.20622247527577295	-1.8486038786135415	0.064515032235517	0.986733821858916
3group	post_vs_peri	ENSG00000177606.8	JUN	51486.3131204343	0.19760007907637497	0.18675097074461716	1.0580939862775547	0.29001259582809596	0.9999417090396784
3group	post_vs_peri	ENSG00000123689.6	G0S2	30247.758310315512	-0.1316643066874629	0.2597956245408055	-0.5067995541502381	0.6122954692108129	0.9999417090396784
3group	post_vs_peri	ENSG00000274286.2	ADRA2B	867.8889353678145	-0.05929576811248299	0.1522124891260305	-0.38955915150554205	0.6968625627285696	0.9999417090396784
3group	post_vs_peri	ENSG00000153234.15	NR4A2	6301.427350461086	0.3972866513858415	0.26355452219423475	1.5074173194912919	0.13170372213769824	0.9999417090396784
3group	post_vs_peri	ENSG00000115170.16	ACVR1	2243.838737816472	-0.02022094221205954	0.070106768039242	-0.2884306719251548	0.7730170920557412	0.9999417090396784
3group	post_vs_peri	ENSG00000169047.6	IRS1	2672.989446355733	0.06400985465494699	0.11892198397141118	0.5382508138304768	0.5904039034659904	0.9999417090396784
3group	post_vs_peri	ENSG00000011198.10	ABHD5	4874.931346204259	-0.1373777765576369	0.14419726845159228	-0.9527072047398406	0.3407384419034052	0.9999417090396784
3group	post_vs_peri	ENSG00000074416.16	MGLL	19943.90222153906	-0.14464294699318686	0.12381923249961782	-1.1681783522090021	0.24273483061990883	0.9999417090396784
