gene_set	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p	n_pre	n_peri	n_post	mean_pre	mean_peri	mean_post	sd_pre	sd_peri	sd_post
acute_beta_adrenergic	180	-0.087662677669666	0.521094892080905	0.09730324569871673	0.4791462109399255	0.18496592336838275	0.20459850386325637	72	54	54	0.022823246870716907	-0.09851438199820525	0.06808338617058265	0.78333371334567925	0.7440384255475935	0.7640937641550545
adrenergic_receptors	180	-0.017561636596526476	0.8442707034732522	-0.13719716691000702	0.12849392701071005	-0.11963553031348055	0.21011868506540454	72	54	54	0.08360920785164044	0.017357424255531932	-0.12883636805772058	0.5148441734707723	0.5220073691122146	0.5760786015192694
lipolysis_core	180	-0.008661426251627873	0.951338036367079	-0.17292922002318345	0.22693679037924178	-0.16426779377155556	0.2781454575183327	72	54	54	0.10603342809953951	0.02985788561123833	-0.17123578974395698	0.8437724535539275	0.7526673143637572	0.8989897888863396
myers2009_context	180	-0.08981708917290125	0.12187155368712053	-0.10153488408633693	0.08251076943065262	-0.011717794913435678	0.8492598039132473	72	54	54	0.07673392957922236	-0.038394077881293044	-0.06391782822433623	0.3376893156188469	0.3377865619737534	0.3357575727331488
thermogenesis_program	180	-0.18209509929235196	0.03834975546837414	-0.20598281469361898	0.020102975217619144	-0.023887715401267023	0.7975295544366368	72	54	54	0.13080169145564227	-0.07012215662937156	-0.10428009864481745	0.5219235851855688	0.4903630482415707	0.43618320663040944
