model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
strict2	post_vs_pre	ENSG00000169047.6	IRS1	2892.404530977426	-0.279398883118971	0.0888699509400678	7.150359198558032e-5	0.015118068399813023
strict2	post_vs_pre	ENSG00000061273.18	HDAC7	13499.056540686339	0.14328126083549922	0.05120780108271828	4.343061866926242e-4	0.0352955209097762
strict2	post_vs_pre	ENSG00000176194.18	CIDEA	8631.114459784008	-0.5714452092493449	0.23851197741889157	5.893215770882567e-4	0.04142134306420866
strict2	post_vs_pre	ENSG00000120738.8	EGR1	14690.66662445334	0.6010109212753648	0.2656787720611932	9.88857042712876e-4	0.05195195202584051
strict2	post_vs_pre	ENSG00000166819.12	PLIN1	92764.3654121508	-0.39672173528894994	0.2177850362801633	0.0017206811879845376	0.0668134316759857
strict2	post_vs_pre	ENSG00000011198.10	ABHD5	5228.552082488273	-0.3281212719619467	0.19406691087763053	0.0017443318722533616	0.06705025739165596
strict2	post_vs_pre	ENSG00000181856.15	SLC2A4	2322.2602391014384	-0.3085419942099704	0.2220156122947762	0.003846836203915701	0.09617245031902054
strict2	post_vs_pre	ENSG00000245848.3	CEBPA	6103.089691688481	-0.04823306903963009	0.09045475334318158	0.004107228003856381	0.09792787405509795
strict2	post_vs_pre	ENSG00000123689.6	G0S2	31102.828863002873	-0.2608666018160394	0.6576387793607679	0.005753809999113318	0.11353079122681406
strict2	post_vs_pre	ENSG00000164136.17	IL15	917.4070355871679	0.15491059224837025	0.1320300884388581	0.007006043664431896	0.12375633193201246
strict2	post_vs_pre	ENSG00000188778.6	ADRB3	18.318479825340624	-0.003318643072752237	0.04677638437300469	0.008503639814573298	0.1349582204041162
strict2	post_vs_pre	ENSG00000177666.17	PNPLA2	65744.49499401345	-0.06312816622890333	0.1267146792943583	0.010069121916248994	0.1446005630703958
strict2	post_vs_pre	ENSG00000175445.17	LPL	82735.19399480028	-0.03765957245480844	0.06948822217421584	0.010181685104450083	0.1453112790123094
strict2	post_vs_pre	ENSG00000155846.17	PPARGC1B	1063.0783102595394	-0.14866126286931264	0.15837738270353527	0.010517635163452405	0.14777539736784517
strict2	post_vs_pre	ENSG00000150594.7	ADRA2A	9996.201418825935	-0.07232631718881981	0.13754042112921488	0.015589418286758618	0.17654114980805732
strict2	post_vs_pre	ENSG00000079435.10	LIPE	59693.14085107865	-0.031601066728650484	0.061861596816465414	0.016843092135917465	0.1827373609039089
strict2	post_vs_pre	ENSG00000115170.16	ACVR1	2742.9180618825344	-0.0859949599335702	0.05847591428422033	0.017765987246355627	0.18631146674866123
strict2	post_vs_pre	ENSG00000105221.18	AKT2	11249.545834040542	-0.09123205207511614	0.07517050670082348	0.020074319565671298	0.19758516065275555
