gene_set	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p	n_pre	n_peri	n_post	mean_pre	mean_peri	mean_post	sd_pre	sd_peri	sd_post
acute_beta_adrenergic	233	0.013771455427680707	0.9085699355654024	0.1698814436581984	0.1623325059086706	0.1561099882305177	0.19470370771599108	78	76	79	-0.132143376022491	-0.05507340920592313	0.1834526889798035	0.7734502413323718	0.8387827558324995	0.7233504058759964
adrenergic_receptors	233	-0.02559886266184803	0.7419524639501108	-0.08467256452295678	0.2822624389695919	-0.059073701861108746	0.4485085625308789	78	76	79	0.04629945659767036	0.008726505967247701	-0.05410850719150848	0.48903360516770217	0.45931562311354857	0.4894959675420684
lipolysis_core	233	-0.38846053286288357	0.0023505818497167774	-0.45849737485098724	4.06200325682659e-4	-0.07003684198810367	0.5804367021511394	78	76	79	0.3284986784336873	-0.09738210220696164	-0.23065641962150085	0.7604678912065743	0.7655237153855352	0.8556476689837826
myers2009_context	233	-0.15855729151877374	0.0029276473661077555	-0.18324061226895458	7.023241639261672e-4	-0.024683320750180843	0.6407561778814855	78	76	79	0.13774001247454445	-0.04560945541329596	-0.09211901723549301	0.33251098237185645	0.32635962094574095	0.3513757435686551
thermogenesis_program	233	-0.17184893818167332	0.008615530597112977	-0.1761865484104783	0.007779349845049755	-0.004337610228804967	0.9468401640536532	78	76	79	0.1260245185280158	-0.05431259137222561	-0.07217918355564706	0.3571488534081671	0.3919236696188365	0.4455728842630442
