depot	score_name	sex	age_bin_label	n	mean	sd	se
visceral	acute_beta_adrenergic	Male	20-29	35	0.34989930035727845	0.7800593037197155	0.13185408789585634
visceral	acute_beta_adrenergic	Male	30-39	34	0.3212675697073381	0.7595696330921201	0.13026511739251315
visceral	acute_beta_adrenergic	Male	40-49	54	0.11332630079402194	0.5982726052327703	0.08141458943921334
visceral	acute_beta_adrenergic	Male	50-59	142	-0.00852338581542237	0.8009688415399977	0.06721581203968609
visceral	acute_beta_adrenergic	Male	60-69	125	-0.16927627884335933	0.7414776563894951	0.06631977773936569
visceral	acute_beta_adrenergic	Male	70-79	17	-0.2705899302250887	0.9855195143565852	0.23902359139997773
visceral	acute_beta_adrenergic	Female	20-29	18	-0.01699627630114779	0.7707584725175072	0.18166951419137153
visceral	acute_beta_adrenergic	Female	30-39	18	0.132989567069778	0.8197449423215323	0.19321573585297694
visceral	acute_beta_adrenergic	Female	40-49	36	-0.038188371258780156	0.8412956101118012	0.14021593501863353
visceral	acute_beta_adrenergic	Female	50-59	54	-0.11533708464741506	0.7666619062598303	0.10432947086478071
visceral	acute_beta_adrenergic	Female	60-69	50	0.046487289478341326	0.8051449682125669	0.11386469337226665
visceral	acute_beta_adrenergic	Female	70-79	4	0.21785788953227198	0.600628078929388	0.300314039464694
visceral	adipocyte	Male	20-29	35	0.27442651632006265	0.8823434747536819	0.14914326836400355
visceral	adipocyte	Male	30-39	34	0.28794098534575857	0.667208116854713	0.11442524803618098
visceral	adipocyte	Male	40-49	54	0.17053528273267482	0.7701285916582905	0.1048012269939465
visceral	adipocyte	Male	50-59	142	0.022522198263783228	0.8696491484314345	0.07297933536222502
visceral	adipocyte	Male	60-69	125	-0.20251515012592514	0.8891645479794119	0.07952929489859353
visceral	adipocyte	Male	70-79	17	-0.48726527354135735	0.9958758429859037	0.24153537003717115
visceral	adipocyte	Female	20-29	18	0.35776568943338527	0.7476658337400041	0.17622652703301692
visceral	adipocyte	Female	30-39	18	0.35100862812060524	0.7479022998944678	0.17628226264013103
visceral	adipocyte	Female	40-49	36	-0.08450609522076427	1.006309347865105	0.16771822464418418
visceral	adipocyte	Female	50-59	54	0.05309416771500823	0.799307527007183	0.10877197715186016
visceral	adipocyte	Female	60-69	50	-0.20969646925166627	0.9999636934282438	0.14141622171269141
visceral	adipocyte	Female	70-79	4	-0.075513865021797	0.7000269803518772	0.3500134901759386
visceral	camp_core	Male	20-29	35	0.2858870538062362	0.5420376824074576	0.09162109070196944
visceral	camp_core	Male	30-39	34	0.11035944423044351	0.3949100718147218	0.06772651857475134
visceral	camp_core	Male	40-49	54	0.0827163771937387	0.5046378550788848	0.06867251387976846
visceral	camp_core	Male	50-59	142	0.03327147233876583	0.49374032904018744	0.04143376799697987
visceral	camp_core	Male	60-69	125	-0.13195244497916703	0.4461519082719949	0.03990503980749725
visceral	camp_core	Male	70-79	17	-0.17916166330178715	0.49311940731808834	0.11959902367143863
visceral	camp_core	Female	20-29	18	0.061281348391395526	0.5296039084199373	0.124828838328879
visceral	camp_core	Female	30-39	18	0.16128285857428623	0.4867720445327517	0.11473327119371628
visceral	camp_core	Female	40-49	36	-0.013720589913871156	0.581447882676399	0.09690798044606651
visceral	camp_core	Female	50-59	54	0.021492771341957876	0.38828534649884056	0.05283894297344012
visceral	camp_core	Female	60-69	50	-0.15368375594350578	0.5521466729841045	0.07808533133533027
visceral	camp_core	Female	70-79	4	-0.09958346821676008	0.5697488588028529	0.28487442940142643
visceral	lipolysis_core	Male	20-29	35	0.32454669893252347	0.8375037435014592	0.1415639704342637
visceral	lipolysis_core	Male	30-39	34	0.22758927449445454	0.6327690470912384	0.10851899629812092
visceral	lipolysis_core	Male	40-49	54	0.1503554814128427	0.7619898404408766	0.10369368323693987
visceral	lipolysis_core	Male	50-59	142	0.016627354667256913	0.7966497297117645	0.06685336022662088
visceral	lipolysis_core	Male	60-69	125	-0.21589004431332134	0.7991448492126867	0.07147768826833546
visceral	lipolysis_core	Male	70-79	17	-0.3918527300035003	0.921284121952188	0.22344422035372313
visceral	lipolysis_core	Female	20-29	18	0.32794813790025873	0.7552038307748938	0.17800324997299513
visceral	lipolysis_core	Female	30-39	18	0.32346512150022305	0.7133411308958163	0.16813611698523745
visceral	lipolysis_core	Female	40-49	36	-0.06241924827124444	0.9440932395153038	0.15734887325255062
visceral	lipolysis_core	Female	50-59	54	0.051579182495029824	0.7623419517627686	0.10374159951867834
visceral	lipolysis_core	Female	60-69	50	-0.16169415623710648	0.9366054195024229	0.13245600868524687
visceral	lipolysis_core	Female	70-79	4	-0.027152994897264845	0.6382731232373295	0.31913656161866477
visceral	macrophage_mono	Male	20-29	35	0.22908569809348378	0.8055167854222525	0.13615718769097085
visceral	macrophage_mono	Male	30-39	34	0.10525212122696677	1.106853457590022	0.18982380193678267
visceral	macrophage_mono	Male	40-49	54	0.18832851960474525	0.6584406446197458	0.08960242251264507
visceral	macrophage_mono	Male	50-59	142	-0.04779024130153298	0.9356087366834089	0.07851454104842324
visceral	macrophage_mono	Male	60-69	125	-0.15080084687010378	0.8693036719411534	0.07775288414202382
visceral	macrophage_mono	Male	70-79	17	-0.05294259981692901	1.116806334219647	0.2708653223144979
visceral	macrophage_mono	Female	20-29	18	0.09504371015247134	0.9009667918208036	0.21235990937345958
visceral	macrophage_mono	Female	30-39	18	0.3875617127233824	0.8170731739392233	0.19258599400601342
visceral	macrophage_mono	Female	40-49	36	-0.40992838598558623	0.9187155227501717	0.15311925379169528
visceral	macrophage_mono	Female	50-59	54	0.16376915696772168	0.9428958030575437	0.1283118665612645
visceral	macrophage_mono	Female	60-69	50	0.06749680330623196	0.8862768287011378	0.12533847111661653
visceral	macrophage_mono	Female	70-79	4	-0.34445441275734046	1.3408845508816054	0.6704422754408027
visceral	thermogenesis_program	Male	20-29	35	0.4334310468373863	0.5813437405288556	0.09826502715355062
visceral	thermogenesis_program	Male	30-39	34	0.06782778730261478	0.4542558736847571	0.07790423962961006
visceral	thermogenesis_program	Male	40-49	54	-0.032375012146654454	0.4624111478518754	0.06292618686732025
visceral	thermogenesis_program	Male	50-59	142	0.012155900068321132	0.49410839704535925	0.04146465557783244
visceral	thermogenesis_program	Male	60-69	125	-0.12427867599956277	0.44858060924835425	0.04012226942670363
visceral	thermogenesis_program	Male	70-79	17	-0.12422370386438085	0.42393077072704766	0.10281831445041888
visceral	thermogenesis_program	Female	20-29	18	0.34264237912596346	0.5038829209326092	0.11876634343851099
visceral	thermogenesis_program	Female	30-39	18	0.12068275942975762	0.43760410615539896	0.10314427697918681
visceral	thermogenesis_program	Female	40-49	36	0.03315510147138425	0.570430730552554	0.09507178842542567
visceral	thermogenesis_program	Female	50-59	54	-0.07171354099259844	0.4934385086507394	0.06714847586856748
visceral	thermogenesis_program	Female	60-69	50	-0.09814962737710753	0.44889481814953297	0.06348331399060737
visceral	thermogenesis_program	Female	70-79	4	-0.14022616506429586	0.4703414664361608	0.2351707332180804
